P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
Q9D5T0," Membrane, Nucleotide-binding,  Phosphoprotein,  Cell membrane,  Peroxisome, Reference proteome,  Hydrolase,  Synapse, ATP-binding,  Postsynaptic cell membrane,  Cell junction"
Q8BGH7," Membrane,  Cytoskeleton,  Phosphoprotein, Lipoprotein,  Palmitate, Reference proteome,  Phagocytosis,  Cytoplasm,  Cell projection,  Cell shape, Cell membrane"
P60766," Membrane,  Cytoskeleton,  Direct protein sequencing,  Lipoprotein,  Alternative splicing, Nucleotide-binding,  Phosphoprotein,  Cell membrane, GTP-binding,  Methylation,  Prenylation,  Differentiation,  Hydrolase, 3D-structure,  Neurogenesis,  Cell projection,  Reference proteome, Cytoplasm"
P61924," Acetylation,  Membrane,  Transport,  Golgi apparatus, Reference proteome, 3D-structure,  Cytoplasm, ER-Golgi transport,  Protein transport,  Cytoplasmic vesicle"
P61202," Phosphoprotein,  Signalosome, Reference proteome,  Cytoplasm, Alternative splicing,  Nucleus"
P61963,"Ubl conjugation pathway,  Developmental protein,  Repeat,  WD repeat,  Nucleus,  Reference proteome, Cytoplasm"
P63168," Transport,  Cytoskeleton,  Apoptosis, Transcription regulation,  Ubl conjugation,  Microtubule,  Dynein,  Mitochondrion, Phosphoprotein,  Motor protein,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome, Isopeptide bond,  Transcription,  Activator"
Q9D0M5," Transport,  Cytoskeleton,  Microtubule,  Dynein, Reference proteome, 3D-structure,  Motor protein,  Cytoplasm"
P63213," Membrane,  Lipoprotein,  Transducer,  Cell membrane,  Methylation, Acetylation,  Reference proteome, Prenylation"
P63216," Membrane,  Direct protein sequencing, Methylation,  Lipoprotein,  Phosphoprotein,  Prenylation,  Transducer,  Reference proteome, Cell membrane"
Q9CSQ0," Growth regulation,  Membrane,  Apoptosis,  Phosphoprotein, Nucleus,  Cell cycle, Ribosomal protein,  Cell membrane,  Developmental protein, Cell projection,  Repeat,  WD repeat,  Cytoplasm, Acetylation,  Biological rhythms,  Translation regulation, Direct protein sequencing,  Reference proteome,  Gastrulation,  Ribonucleoprotein"
P84075," Membrane,  Myristate,  Lipoprotein, Reference proteome,  Repeat,  Cytoplasm, Calcium,  Metal-binding"
P63242," Membrane,  Direct protein sequencing,  Hypusine,  Transport, Nuclear pore complex, Endoplasmic reticulum,  Elongation factor, Reference proteome,  mRNA transport,  Protein biosynthesis,  Cytoplasm, Acetylation,  Protein transport,  Nucleus,  Translocation,  RNA-binding"
Q9CXY6,"Methylation,  Phosphoprotein, Transcription regulation,  Ubl conjugation,  DNA-binding,  Isopeptide bond, 3D-structure,  Cytoplasm,  Nucleus,  Reference proteome,  Transcription,  Activator"
Q8BK63," Cytoskeleton,  Phosphoprotein,  Alternative splicing,  Cell cycle,  Centromere, Cell projection,  ATP-binding, Kinetochore, Reference proteome,  Cell division,  Nucleotide-binding,  Chromosome,  Serine/threonine-protein kinase,  Cytoplasm, Acetylation,  Mitosis,  Nucleus,  Transferase, Wnt signaling pathway,  Kinase"
Q9D0R8," Reference proteome,  Phosphoprotein, Acetylation"
O35900," Phosphoprotein, mRNA processing, Reference proteome,  mRNA splicing,  Nucleus,  RNA-binding,  Ribonucleoprotein,  Spliceosome"
P61327," Transport, Nonsense-mediated mRNA decay,  mRNA transport,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation, Spliceosome,  Nucleus,  Translation regulation,  RNA-binding,  Reference proteome"
Q3THE2," Direct protein sequencing,  Phosphoprotein, Muscle protein,  Repeat,  Motor protein,  Myosin, Calcium,  Reference proteome,  Metal-binding"
Q6ZWM4," mRNA processing,  mRNA splicing, Acetylation,  Nucleus,  RNA-binding,  Reference proteome, Ribonucleoprotein,  Spliceosome"
P41778," Direct protein sequencing, Transcription regulation,  Alternative splicing,  Developmental protein, Reference proteome,  DNA-binding, 3D-structure,  Homeobox,  Steroidogenesis, Differentiation,  Nucleus,  Transcription,  Activator,  Sexual differentiation"
O35593," DNA repair,  Zinc,  Metalloprotease,  Phosphoprotein,  Protease, Reference proteome,  Hydrolase,  Ubl conjugation pathway, Direct protein sequencing,  DNA damage, Metal-binding,  Proteasome"
P62821," Membrane,  Direct protein sequencing,  Autophagy,  Endosome,  Lipoprotein,  Phosphoprotein,  Transport, Endoplasmic reticulum,  Golgi apparatus, GTP-binding,  Nucleotide-binding,  Cytoplasm, Acetylation,  ER-Golgi transport,  Protein transport,  Reference proteome, Prenylation"
P51150," Acetylation,  GTP-binding,  Autophagy,  Endosome,  Lipoprotein,  Membrane, Methylation,  Phosphoprotein,  Prenylation,  Transport,  Lipid degradation, 3D-structure,  Nucleotide-binding,  Lysosome, Direct protein sequencing,  Reference proteome, Lipid droplet, Protein transport,  Lipid metabolism,  Cytoplasmic vesicle"
P84096," Membrane,  GTP-binding, Nucleotide-binding,  Lipoprotein,  Phosphoprotein,  Prenylation,  Methylation,  Reference proteome, Cell membrane"
Q6ZWV3," Ribosomal protein, Ubl conjugation,  Developmental protein,  Isopeptide bond, Citrullination,  Translation regulation,  Reference proteome, Ribonucleoprotein"
P62830," Reference proteome,  Ribonucleoprotein, Phosphoprotein,  Ribosomal protein"
P61255,"Ribosomal protein,  Phosphoprotein,  Ubl conjugation,  Reference proteome, Isopeptide bond,  Ribonucleoprotein"
P61358," Ribosomal protein,  Cytoplasm, Acetylation,  Endoplasmic reticulum,  Reference proteome, Ribonucleoprotein"
P62900,"Ribosomal protein,  Phosphoprotein, Acetylation,  Reference proteome,  Ribonucleoprotein"
P61514," Ribosomal protein,  Zinc-finger, Zinc,  Reference proteome,  Ribonucleoprotein, Metal-binding"
P62918," Ribosomal protein, Ubl conjugation,  Isopeptide bond,  rRNA-binding,  RNA-binding,  Reference proteome, Cytoplasm,  Hydroxylation, Ribonucleoprotein"
Q99M28,"mRNA processing,  Alternative splicing,  Ubl conjugation, Phosphoprotein,  Isopeptide bond,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Reference proteome,  Nonsense-mediated mRNA decay"
Q80X95," GTP-binding, Nucleotide-binding,  Phosphoprotein, Ubl conjugation,  Hydrolase,  Isopeptide bond,  Cytoplasm,  Nucleus,  Reference proteome, Apoptosis,  Lysosome"
P62281," Ribosomal protein,  Lipoprotein,  Palmitate,  Methylation, Phosphoprotein,  Citrullination,  rRNA-binding, Acetylation, RNA-binding,  Reference proteome,  Ribonucleoprotein"
P62264,"Ribosomal protein,  Phosphoprotein,  Ubl conjugation,  Reference proteome, Isopeptide bond,  Ribonucleoprotein"
P62849," Phosphoprotein,  Ribosomal protein,  Alternative splicing,  Ubl conjugation, Reference proteome,  Isopeptide bond, Acetylation,  Ribonucleoprotein"
P62754," Direct protein sequencing,  Ribosomal protein, Ubl conjugation, Phosphoprotein,  Isopeptide bond, Acetylation,  Reference proteome,  Ribonucleoprotein,  Hydroxylation"
P62082," Cytoskeleton,  Ribosomal protein,  Ubl conjugation,  Isopeptide bond,  Cytoplasm, Acetylation,  Reference proteome, Ribonucleoprotein"
P62242," Membrane,  Myristate,  Ribosomal protein,  Lipoprotein, Ubl conjugation, Phosphoprotein,  Isopeptide bond,  Cytoplasm, Acetylation,  Reference proteome,  Ribonucleoprotein"
P62307,"Reference proteome,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Ribonucleoprotein,  Spliceosome"
P62315,"Nucleus, Ubl conjugation,  Methylation,  Repeat,  Isopeptide bond,  mRNA processing,  mRNA splicing,  Ribonucleoprotein,  Reference proteome, Cytoplasm,  Spliceosome"
P62317," Phosphoprotein, Nucleus,  Ubl conjugation,  Isopeptide bond,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation, Spliceosome,  Reference proteome,  Ribonucleoprotein"
P63166," Membrane, Ubl conjugation pathway,  Ubl conjugation,  Cell membrane,  Stress response, Phosphoprotein,  Isopeptide bond,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome"
Q63739," Membrane,  Cytoskeleton,  Endosome,  Lipoprotein,  Cell cycle,  Prenylation,  Cell membrane,  Methylation,  Disulfide bond, 3D-structure,  Cytoplasm, Hydrolase,  Endoplasmic reticulum, Protein phosphatase,  Reference proteome, Developmental protein"
P62996," Phosphoprotein, mRNA processing,  Alternative splicing,  Ubl conjugation,  Methylation, Reference proteome,  Isopeptide bond,  mRNA splicing, Acetylation,  Nucleus,  RNA-binding,  Repressor,  Activator"
P62069,"Behavior,  Protease,  Hydrolase,  Ubl conjugation pathway,  Reference proteome, Thiol protease,  Metal-binding,  Zinc"
P61961,"Ubl conjugation,  Isopeptide bond, 3D-structure,  Cytoplasm,  Ubl conjugation pathway,  Nucleus,  Reference proteome"
P62761," Myristate,  Direct protein sequencing,  Lipoprotein, Reference proteome,  Repeat, Calcium,  Metal-binding"
Q8BFQ4," Reference proteome, Nucleus,  Repeat,  WD repeat"
Q99MR0,"Chromatin regulator,  Transcription regulation,  Neurogenesis,  Nucleus,  Reference proteome, Transcription"
P56212," Phosphoprotein,  Protein phosphatase inhibitor,  Alternative splicing,  Cell cycle, Mitosis,  Cell division,  Cytoplasm, Acetylation,  Reference proteome"
Q3U9F2," Direct protein sequencing, mRNA processing,  Repeat,  Cytoplasm, Alternative splicing,  Nucleus, RNA-binding,  Reference proteome,  Repressor"
Q9D7S9," Membrane,  Transport,  Phosphoprotein,  Endosome,  Ubl conjugation,  Cytoplasm,  Reference proteome, Coiled coil, Protein transport"
Q9Z1N5," Transport,  Direct protein sequencing, Nucleotide-binding,  Phosphoprotein,  Ubl conjugation,  ATP-binding,  Helicase,  mRNA transport,  Isopeptide bond,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation, Hydrolase,  Nucleus, RNA-binding,  Reference proteome,  Spliceosome"
Q9WVK4," Transport,  Phosphoprotein,  Coiled coil,  Endosome, Membrane,  Cell membrane,  ATP-binding,  Nucleotide-binding,  Calcium, Acetylation,  Cell projection,  Cytoplasmic vesicle, Protein transport,  Reference proteome, Cilium biogenesis/degradation,  Metal-binding,  Cilium"
P63078," Membrane,  Lipoprotein,  Prenylation,  Transducer,  Methylation, Reference proteome, Cell membrane"
P62812," Membrane,  Receptor,  Transport,  Cell membrane, Cytoplasmic vesicle,  Disulfide bond,  Ligand-gated ion channel, 3D-structure,  Synapse, Ion transport, Postsynaptic cell membrane,  Glycoprotein,  Transmembrane helix,  Chloride,  Reference proteome,  Ion channel,  Signal,  Chloride channel, Transmembrane,  Cell junction"
Q60872," Protein biosynthesis,  Reference proteome, Initiation factor"
Q6ZWX6,"Protein biosynthesis,  Phosphoprotein, Translation regulation,  Initiation factor,  Cytoplasm, Acetylation,  RNA-binding,  Reference proteome"
P63073," Acetylation, Translation regulation, Phosphoprotein, 3D-structure,  Initiation factor,  Protein biosynthesis,  Cytoplasm,  Nucleus,  RNA-binding,  Reference proteome"
Q9DC28," Membrane,  Cytoskeleton, Methylation,  Phosphoprotein,  Alternative splicing,  Golgi apparatus,  ATP-binding, Reference proteome, Wnt signaling pathway, 3D-structure,  Nucleotide-binding,  Transferase,  Serine/threonine-protein kinase,  Cytoplasm,  Biological rhythms,  Nucleus,  Kinase, Cell membrane"
P62482," Membrane,  Transport,  Phosphoprotein,  Potassium transport,  Cell membrane,  Potassium,  Methylation,  Ion transport, Reference proteome,  Synapse,  NADP, Oxidoreductase,  Voltage-gated channel,  Cytoplasm, Acetylation,  Synaptosome,  Cell projection,  Ion channel, Cytoskeleton,  Cell junction"
Q6PER3," Cytoskeleton,  Microtubule, Phosphoprotein,  Cell division, Cell cycle,  Cytoplasm,  Mitosis,  Reference proteome"
P62774," Acetylation,  Phosphoprotein, Reference proteome,  Repeat, 3D-structure,  ANK repeat,  Cytoplasm,  Nucleus"
P29595,"Ubl conjugation pathway,  Isopeptide bond, Acetylation,  Nucleus,  Reference proteome"
P60761," Acetylation, Cell projection,  Methylation,  Calmodulin-binding,  Disulfide bond, Phosphoprotein, 3D-structure,  Citrullination,  Synapse,  Cytoplasm,  Reference proteome,  Cell junction"
Q7TQI3," DNA repair,  Direct protein sequencing,  Phosphoprotein,  Immunity,  Protease,  Adaptive immunity,  Hydrolase, Reference proteome, DNA damage,  Cytoplasm, Acetylation,  Ubl conjugation pathway,  Thiol protease"
Q99KP6," Cytoskeleton, DNA repair,  Alternative splicing, Ubl conjugation pathway, Reference proteome,  Repeat,  WD repeat,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation,  Transferase,  Nucleus,  DNA damage,  Lipid droplet,  Spliceosome"
Q91Z31," Alternative splicing, Phosphoprotein,  Repeat,  mRNA processing,  mRNA splicing, Acetylation,  Nucleus,  RNA-binding,  Reference proteome"
P35279," Membrane,  Direct protein sequencing,  GTP-binding,  Lipoprotein,  Alternative splicing, Methylation,  Phosphoprotein,  Prenylation,  Golgi apparatus,  Transport,  Nucleotide-binding, ER-Golgi transport, Acetylation,  Reference proteome, Protein transport"
P55258," Membrane,  Endosome,  Lipoprotein,  Prenylation, 3D-structure,  Proto-oncogene, Cytoskeleton,  Transport,  Golgi apparatus, GTP-binding,  Methylation, Reference proteome,  Cytoplasm,  Cell projection,  Cytoplasmic vesicle,  Cilium,  Direct protein sequencing, Phosphoprotein,  Nucleotide-binding,  Autophagy,  Cell membrane,  Protein transport, Cilium biogenesis/degradation"
P63032," Membrane,  GTP-binding, Nucleotide-binding,  Lipoprotein, Behavior,  Prenylation,  Cell membrane,  Methylation,  Reference proteome"
Q9QUI0," Membrane,  Cytoskeleton,  GTP-binding,  Lipoprotein, Methylation,  Cell cycle,  Phosphoprotein,  Cell membrane,  Prenylation, Proto-oncogene,  Ubl conjugation,  Hydrolase,  Cell division, 3D-structure,  Nucleotide-binding,  Cell projection,  Reference proteome, Cytoplasm"
P25444," Phosphoprotein,  Ribosomal protein, Ubl conjugation, Reference proteome,  Repeat,  Isopeptide bond,  Citrullination, Acetylation,  Ribonucleoprotein"
P60122," Growth regulation,  Reference proteome,  DNA damage, Transcription,  Cell cycle,  Ubl conjugation,  Cell division,  Mitosis,  DNA repair,  Direct protein sequencing, Chromatin regulator,  ATP-binding,  Nucleotide-binding,  Transcription regulation,  Activator, DNA recombination,  Helicase,  Hydrolase, Acetylation,  Nucleus, Isopeptide bond"
O08547," Acetylation,  Direct protein sequencing,  Membrane,  Coiled coil,  Transport, Endoplasmic reticulum,  Golgi apparatus, Phosphoprotein, 3D-structure,  ER-Golgi transport,  Protein transport,  Reference proteome,  Transmembrane, Transmembrane helix"
P83887," Direct protein sequencing,  Cytoskeleton,  GTP-binding,  Phosphoprotein, Microtubule,  Nucleotide-binding,  Reference proteome, Cytoplasm"
O55013," Transport, Lipoprotein,  Palmitate,  Golgi apparatus, 3D-structure,  ER-Golgi transport,  Endoplasmic reticulum,  Reference proteome"
P62960," Phosphoprotein, mRNA processing, Transcription regulation,  Secreted,  Ubl conjugation, Reference proteome,  DNA-binding,  Isopeptide bond,  Mitogen,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Repressor,  Transcription,  Activator"
P63276,"Ribosomal protein,  Phosphoprotein,  Ubl conjugation,  Reference proteome, Isopeptide bond,  Ribonucleoprotein"
P48193," Cytoskeleton,  Direct protein sequencing,  Phosphoprotein,  Alternative splicing,  Cell cycle, Transport,  Calmodulin-binding, Actin-binding, Cell division,  Cytoplasm, Glycoprotein,  Mitosis,  Nucleus,  Reference proteome"
P10852," Membrane,  Direct protein sequencing,  Phosphoprotein,  Transport,  Alternative splicing,  Amino-acid transport, Ubl conjugation,  Disulfide bond, 3D-structure,  Lysosome,  Glycoprotein,  Transmembrane helix,  Reference proteome, Isopeptide bond, Signal-anchor,  Transmembrane, Cell membrane,  Cell junction"
Q9DCD0," Phosphoprotein,  Reference proteome, Pentose shunt,  Cytoplasm, Acetylation,  Oxidoreductase,  Gluconate utilization,  NADP"
Q00897," Secreted, Glycoprotein,  Reference proteome,  Signal, Serine protease inhibitor,  Protease inhibitor"
Q61838," Direct protein sequencing, Bait region,  Thioester bond,  Secreted, Protease inhibitor,  Disulfide bond,  Glycoprotein,  Reference proteome,  Signal, Serine protease inhibitor"
Q3UHJ0," Membrane, Methylation,  Phosphoprotein,  Alternative splicing,  ATP-binding,  Synapse,  Nucleotide-binding,  Transferase, Serine/threonine-protein kinase, Acetylation,  Cell projection,  Coated pit,  Reference proteome,  Endocytosis,  Kinase, Cell membrane,  Cell junction"
P41234," Membrane,  Transport, Nucleotide-binding,  Endosome,  Phosphoprotein,  Methylation,  Repeat, ATP-binding,  Glycoprotein,  Transmembrane helix,  Reference proteome, Transmembrane,  Lysosome"
Q9QY30," Membrane,  Transport, Nucleotide-binding,  Endosome,  Phosphoprotein, Translocase,  Cell membrane, Ubl conjugation,  Repeat, ATP-binding,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Transmembrane"
Q6P542," ATP-binding, Phosphoprotein,  Repeat,  Nucleotide-binding,  Cytoplasm,  Nucleus, Activator,  Reference proteome"
Q8K268," Antiviral defense,  ATP-binding, Phosphoprotein,  Repeat,  Nucleotide-binding, Acetylation,  Reference proteome"
Q8R2Y0," Signal-anchor,  Endosome, Membrane,  Mitochondrion,  Hydrolase, Alternative splicing, Transmembrane helix,  Reference proteome,  Transmembrane,  Lipid metabolism,  Lysosome"
Q9Z1Q2," Membrane, Reference proteome,  Hydrolase,  Transmembrane helix, Direct protein sequencing,  Transmembrane,  Lipid metabolism"
Q7TQI7," Reference proteome,  Repeat, ANK repeat"
Q9D7B6," Branched-chain amino acid catabolism,  Flavoprotein,  Reference proteome,  FAD, Mitochondrion, Acetylation,  Transit peptide,  Oxidoreductase"
Q8JZN5," Membrane,  Phosphoprotein,  Flavoprotein,  Mitochondrion, Reference proteome,  FAD, Acetylation,  Transit peptide, Mitochondrion inner membrane,  Oxidoreductase"
Q07417," Phosphoprotein,  Flavoprotein,  Fatty acid metabolism,  Reference proteome,  FAD, Mitochondrion, Transit peptide, Acetylation,  Oxidoreductase,  Lipid metabolism"
P50544," Flavoprotein,  Fatty acid metabolism, Membrane,  Reference proteome,  Mitochondrion inner membrane,  Mitochondrion, Phosphoprotein,  FAD, Acetylation,  Transit peptide,  Oxidoreductase,  S-nitrosylation,  Lipid metabolism"
Q9D258," Reference proteome, Lipid-binding"
Q99PU5," Phosphoprotein, Membrane,  Fatty acid metabolism,  Ligase,  Cell membrane, Endoplasmic reticulum, Reference proteome,  Nucleotide-binding,  Microsome, ATP-binding,  Cytoplasm,  Lipid metabolism,  Cytoplasmic vesicle"
P31786,"Golgi apparatus,  Direct protein sequencing,  Phosphoprotein, Transport,  Lipid-binding, Acetylation,  Endoplasmic reticulum,  Reference proteome"
Q8R0I0," Membrane, Disulfide bond,  Reference proteome,  Secreted,  Cell membrane,  Carboxypeptidase,  Protease,  Hydrolase,  Cytoplasm, Alternative splicing,  Glycoprotein,  Transmembrane helix,  Chloride, Metalloprotease,  Signal,  Metal-binding, Transmembrane,  Zinc"
Q91V92," Ubl conjugation,  ATP-binding,  Magnesium,  Metal-binding,  Isopeptide bond,  Nucleotide-binding, Phosphoprotein,  Transferase,  Cytoplasm, Acetylation, Lipid metabolism,  Reference proteome,  Lipid biosynthesis"
Q32MW3," Mitochondrion,  Repeat,  Serine esterase, Transit peptide, Hydrolase,  Reference proteome"
Q9CQR4," Acetylation,  Cytoskeleton,  Hydrolase, 3D-structure, Mitochondrion,  Cytoplasm,  Nucleus,  Reference proteome"
O55137," Fatty acid metabolism,  Hydrolase, Phosphoprotein,  Serine esterase,  Reference proteome, Cytoplasm,  Lipid metabolism"
Q6Q2Z6,"Fatty acid metabolism,  Peroxisome, Reference proteome,  Hydrolase,  Serine esterase,  Lipid metabolism"
Q9R0H0," Phosphoprotein,  Fatty acid metabolism,  Alternative splicing,  Peroxisome, Reference proteome, Flavoprotein,  FAD, Acetylation,  Oxidoreductase,  Lipid metabolism"
Q99NB1," Ligase,  Mitochondrion,  ATP-binding, Reference proteome,  Nucleotide-binding, Acetylation,  Transit peptide"
Q9CZW4," Membrane,  Signal-anchor,  Fatty acid metabolism,  Ligase,  Peroxisome,  Magnesium,  Mitochondrion, Phosphoprotein, Mitochondrion outer membrane,  Microsome,  Nucleotide-binding, ATP-binding,  Endoplasmic reticulum,  Reference proteome,  Transmembrane, Lipid metabolism, Transmembrane helix"
Q80W40," Fatty acid metabolism,  Ligase,  Magnesium,  Mitochondrion,  Nucleotide-binding, ATP-binding, Transit peptide,  Reference proteome, Metal-binding,  Lipid metabolism"
O35227," Membrane, Disulfide bond,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Signal, Transmembrane"
Q9QYB8," Membrane,  Cytoskeleton,  Phosphoprotein,  Alternative splicing,  Cell membrane,  Calmodulin-binding, Actin-binding,  Reference proteome, Cytoplasm"
P28474," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Reference proteome,  NAD, Zinc, 3D-structure,  Cytoplasm,  Oxidoreductase, Metal-binding"
Q60604," Cytoskeleton,  Phosphoprotein,  Alternative splicing, Actin capping, Cell projection, Reference proteome,  Repeat,  Actin-binding,  Calcium,  Cytoplasm,  Metal-binding,  Cell junction"
Q920A7," Direct protein sequencing,  Metalloprotease, Membrane,  Protease, Zinc,  ATP-binding,  Hydrolase,  Mitochondrion,  Nucleotide-binding, Reference proteome, Alternative splicing,  Transit peptide,  Transmembrane helix, Mitochondrion inner membrane,  Transmembrane,  Metal-binding"
Q8BXK8," Transport,  GTP-binding,  Phosphoprotein,  Zinc-finger, Reference proteome,  Repeat,  Nucleotide-binding,  ANK repeat,  GTPase activation,  Cytoplasm, Acetylation,  Protein transport, Metal-binding,  Zinc"
Q3UHD9," GTP-binding,  Zinc-finger, Phosphoprotein,  Repeat,  Nucleotide-binding,  ANK repeat,  Cytoplasm, Alternative splicing, GTPase activation,  Nucleus,  Reference proteome,  Metal-binding,  Zinc"
Q8K2K6," Transport,  Zinc-finger,  Developmental protein, Zinc, Phosphoprotein,  DNA-binding,  Repeat,  Spermatogenesis, Differentiation, Alternative splicing,  Glycoprotein,  Nucleus,  Reference proteome,  Metal-binding,  Cytoplasmic vesicle"
Q9ESW4," Membrane,  Alternative splicing,  Mitochondrion inner membrane,  ATP-binding, Reference proteome,  Nucleotide-binding, Mitochondrion,  Transferase, Acetylation,  Kinase"
Q9CYR6," Acetylation,  Carbohydrate metabolism,  Phosphoprotein,  Reference proteome,  Magnesium, 3D-structure,  Isomerase, Metal-binding"
A2ASQ1," Membrane, 3D-structure,  Transmembrane helix,  Reference proteome,  Laminin EGF-like domain,  Synapse,  Transmembrane,  Cell junction,  Alternative splicing,  Differentiation,  Disulfide bond,  Heparan sulfate, Phosphoprotein,  Calcium, Glycoprotein,  Cell membrane,  EGF-like domain,  Repeat,  Proteoglycan,  Polymorphism, Signal-anchor, Developmental protein"
Q8BK64," Ubl conjugation,  Chaperone,  Stress response, Phosphoprotein,  Isopeptide bond,  Cytoplasm, Acetylation,  Endoplasmic reticulum,  Reference proteome"
Q9JII6," Acetylation,  Membrane,  Phosphoprotein,  Cell membrane, Reference proteome, 3D-structure,  Cytoplasm, Direct protein sequencing,  Oxidoreductase,  NADP"
Q9R0L7," Direct protein sequencing, Methylation,  Phosphoprotein,  Zinc-finger,  Repeat,  Transcription regulation,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome,  Metal-binding, Transcription,  Zinc"
Q64362," Membrane,  Transport,  Phosphoprotein,  Cell membrane,  Cytoplasm,  Reference proteome, Apoptosis, Protein transport"
P47740," Membrane,  Phosphoprotein,  Fatty acid metabolism,  Reference proteome, Endoplasmic reticulum,  NAD, Transmembrane, Microsome,  Transmembrane helix,  Oxidoreductase,  Lipid metabolism"
Q8CHT0," Acetylation,  Reference proteome,  NAD,  Mitochondrion, Phosphoprotein, 3D-structure,  Transit peptide,  Oxidoreductase,  Proline metabolism"
Q9DBF1," Alternative splicing,  NAD,  Mitochondrion, Oxidoreductase,  Cytoplasm, Acetylation,  Transit peptide,  Nucleus,  Reference proteome"
Q8BGT5," Pyridoxal phosphate,  Aminotransferase, Acetylation,  Reference proteome, Transferase"
Q9DBE8," Membrane, Glycosyltransferase,  Transferase,  Transmembrane helix,  Reference proteome, Transmembrane"
P0CB42," DNA repair,  RNA repair,  Lyase,  Iron,  Multifunctional enzyme, Reference proteome, 3D-structure,  Nucleus,  Translation regulation,  Oxidoreductase,  DNA damage,  Dioxygenase, Metal-binding"
Q91ZB0," Membrane,  Immunoglobulin domain, Reference proteome,  Disulfide bond,  Repeat,  Transferase,  Serine/threonine-protein kinase,  Kinase, Cell membrane"
Q9R049," Membrane,  Receptor,  Phosphoprotein,  Lipoprotein, Ubl conjugation pathway,  Zinc-finger,  Palmitate,  Wnt signaling pathway, Reference proteome,  Transmembrane,  Nucleotide-binding,  Transferase, Alternative splicing,  Endoplasmic reticulum,  Transmembrane helix, Metal-binding,  Zinc"
Q8VHG2," Coiled coil,  Tight junction,  Ubl conjugation, Phosphoprotein,  Isopeptide bond, Alternative splicing,  Reference proteome,  Cell junction"
Q3V1D3," Phosphoprotein, Reference proteome, Hydrolase,  Nucleotide metabolism,  Metal-binding,  Zinc"
P97449," Membrane,  Direct protein sequencing,  Metalloprotease,  Phosphoprotein,  Signal-anchor,  Zinc,  Cell membrane,  Developmental protein, Aminopeptidase,  Disulfide bond,  Sulfation, Differentiation, Hydrolase,  Glycoprotein, Protease,  Reference proteome,  Angiogenesis,  Transmembrane,  Metal-binding, Transmembrane helix"
Q810B6," Membrane,  Endosome,  Alternative splicing,  Zinc-finger, Cytoplasmic vesicle, Phosphoprotein,  Repeat,  ANK repeat,  Cytoplasm, Acetylation,  Reference proteome,  Endocytosis,  Metal-binding,  Zinc"
Q8K298," Cytoskeleton,  Phosphoprotein,  Cell cycle,  Ubl conjugation, Reference proteome,  Cell division,  Actin-binding,  Cytoplasm, Acetylation,  Mitosis,  Cell projection,  Nucleus, Coiled coil"
Q6PAK3," Membrane,  Lipoprotein,  Methyltransferase,  Methylation,  Repeat,  S-adenosyl-L-methionine,  Reference proteome, Myristate, Transferase, Cell membrane"
A2AHL1,"Membrane,  Cell membrane, Transport,  Transmembrane, Alternative splicing,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Lipid transport"
Q6P9J9," Membrane,  Transport,  Alternative splicing,  Cell membrane, Chloride channel, Lipid transport,  Ion transport,  Disulfide bond, 3D-structure,  Voltage-gated channel,  Calcium,  Glycoprotein,  Transmembrane helix,  Chloride,  Reference proteome,  Ion channel,  Metal-binding, Transmembrane"
P59672," Acetylation,  Phosphoprotein,  Alternative splicing, Cell projection,  Repeat, 3D-structure,  ANK repeat,  Cytoplasm,  Reference proteome"
P32261,"Heparin-binding,  Phosphoprotein,  Serine protease inhibitor,  Hemostasis, Blood coagulation, Secreted,  Disulfide bond,  Glycoprotein,  Reference proteome,  Signal,  Protease inhibitor"
P10107," Membrane,  Endosome,  Isopeptide bond,  Innate immunity, Metal-binding,  Immunity,  Secreted,  Ubl conjugation,  Adaptive immunity, Reference proteome,  Cell projection,  Phospholipase A2 inhibitor,  Cytoplasmic vesicle,  Cilium,  Disulfide bond,  Calcium, Calcium/phospholipid-binding, Cytoplasm,  Annexin,  Phosphoprotein,  Cell membrane,  Repeat, Inflammatory response, Acetylation,  Nucleus"
P07356," Acetylation,  Annexin,  Secreted,  Ubl conjugation,  Extracellular matrix, Phosphoprotein,  Repeat, 3D-structure,  Isopeptide bond,  Calcium, Calcium/phospholipid-binding,  Reference proteome,  Basement membrane"
Q07076," Annexin, Reference proteome,  Repeat,  Calcium, Acetylation,  Calcium/phospholipid-binding"
