Uniprot Entry,Accession Name,Name,Organism,Biological Process Label,Brain Part,Molecular Function Label,Cellular Component Label
Q8R0Y6,AL1L1_MOUSE,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Mus musculus (Mouse),"GO:0008152, GO:0009987",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226"
P62874,GBB1_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Mus musculus (Mouse),"GO:0032502, GO:0009987, GO:0032501, GO:0050896, GO:0065007",Hipocampus,"GO:0005488, GO:0003824","GO:0042995, GO:1902494, GO:0016020, GO:0098796"
P62880,GBB2_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Mus musculus (Mouse),"GO:0065007, GO:0009987",Hipocampus,"GO:0005488, GO:0003824, GO:0098772","GO:1902494, GO:0098796"
P62881,GNB5_MOUSE,Guanine nucleotide-binding protein subunit beta-5,Mus musculus (Mouse),"GO:0065007, GO:0009987",Hipocampus,"GO:0005488, GO:0098772","GO:0005622, GO:0043226, GO:0016020, GO:0098796, GO:1902494"
P13707,GPDA_MOUSE,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987, GO:0050896",Hipocampus,"GO:0005488, GO:0003824","GO:1902494, GO:0005622, GO:0043226"
Q80W21,GSTM7_MOUSE,Glutathione S-transferase Mu 7,Mus musculus (Mouse),"GO:0009987, GO:0050896, GO:0098754, GO:0008152, GO:0065007",Hipocampus,"GO:0005488, GO:0003824, GO:0016209","GO:0005622, GO:0043226"
P70349,HINT1_MOUSE,Histidine triad nucleotide-binding protein 1,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0016020, GO:0140513, GO:1902494"
Q9Z2X1,HNRPF_MOUSE,Heterogeneous nuclear ribonucleoprotein F,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Hipocampus,GO:0005488,"GO:0005622, GO:0043226, GO:1990904, GO:0140513, GO:1902494"
P17879,HS71B_MOUSE,Heat shock 70 kDa protein 1B,Mus musculus (Mouse),"GO:0022414, GO:0009987, GO:0051179, GO:0050896, GO:0065007",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0016020, GO:0005815, GO:0031974"
Q8CAQ8,MIC60_MOUSE,MICOS complex subunit Mic60,Mus musculus (Mouse),"GO:0032502, GO:0065007, GO:0009987",Hipocampus,,"GO:0005622, GO:0043226, GO:0016020, GO:0098796, GO:0098798, GO:0031974"
Q91VM9,IPYR2_MOUSE,"Inorganic pyrophosphatase 2, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226"
Q9JHI5,IVD_MOUSE,"Isovaleryl-CoA dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0031974, GO:0016020"
Q8BL86,MBLC2_MOUSE,Metallo-beta-lactamase domain-containing protein 2,Mus musculus (Mouse),,Hipocampus,"GO:0005488, GO:0003824",
O88441,MTX2_MOUSE,Metaxin-2,Mus musculus (Mouse),"GO:0051179, GO:0009987",Hipocampus,,"GO:0098798, GO:0005622, GO:0043226, GO:0098796"
P15532,NDKA_MOUSE,Nucleoside diphosphate kinase A,Mus musculus (Mouse),"GO:0032502, GO:0009987, GO:0051179, GO:0050896, GO:0008152, GO:0065007",Hipocampus,"GO:0005488, GO:0003824","GO:0031256, GO:0005622, GO:0043226, GO:0016020, GO:0005815, GO:0099080"
Q8K3J1,NDUS8_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0050896",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0098796, GO:1902494, GO:0098798"
Q9EQ80,NIF3L_MOUSE,NIF3-like protein 1 {ECO:0000305|PubMed:12951069},Mus musculus (Mouse),"GO:0032502, GO:0065007, GO:0009987",Hipocampus,GO:0005488,"GO:0005622, GO:0043226"
Q8K2T1,NMRL1_MOUSE,NmrA-like family domain-containing protein 1,Mus musculus (Mouse),,Hipocampus,GO:0005488,
Q62443,FT,Neuronal pentraxin-1,Mus musculus (Mouse),"GO:0032502, GO:0009987, GO:0051179, GO:0050896, GO:0065007",Hipocampus,GO:0005488,"GO:0005622, GO:0043226, GO:0016020, GO:0005576, GO:0042995, GO:0030054"
P29758,OAT_MOUSE,"Ornithine aminotransferase, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0031974"
P53395,ODB2_MOUSE,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",Mus musculus (Mouse),,Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0009295"
Q61206,PA1B2_MOUSE,Platelet-activating factor acetylhydrolase IB subunit alpha2 {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0065007, GO:0022414",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0016020"
Q922E4,PCY2_MOUSE,Ethanolamine-phosphate cytidylyltransferase,Mus musculus (Mouse),"GO:0008152, GO:0009987",Hipocampus,GO:0003824,
Q8CHP8,PGP_MOUSE,Glycerol-3-phosphate phosphatase {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Hipocampus,"GO:0005488, GO:0003824",
O35621,PMM1_MOUSE,Phosphomannomutase 1,Mus musculus (Mouse),"GO:0008152, GO:0051179, GO:0009987, GO:0050896",Hipocampus,"GO:0005488, GO:0003824",GO:0044297
P62137,PP1A_MOUSE,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Mus musculus (Mouse),"GO:0032502, GO:0009987, GO:0048511, GO:0032501, GO:0050896, GO:0008152, GO:0065007",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0016020, GO:1902494, GO:0044297, GO:0098794, GO:0098687, GO:0042995, GO:0030054"
P63330,PP2AA_MOUSE,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Mus musculus (Mouse),"GO:0032502, GO:0022414, GO:0009987, GO:0050896, GO:0008152, GO:0065007",Hipocampus,"GO:0005488, GO:0003824","GO:0042995, GO:0098793, GO:0043226, GO:0005622, GO:0016020, GO:0140535, GO:0098687, GO:1902494"
Q9D7G0,PRPS1_MOUSE,Ribose-phosphate pyrophosphokinase 1,Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0009987",Hipocampus,"GO:0005488, GO:0003824",GO:1902494
Q9R1P1,PSB3_MOUSE,Proteasome subunit beta type-3,Mus musculus (Mouse),"GO:0008152, GO:0009987",Hipocampus,GO:0003824,"GO:0140535, GO:0005622, GO:0043226, GO:1902494"
Q9WVJ2,PSD13_MOUSE,26S proteasome non-ATPase regulatory subunit 13,Mus musculus (Mouse),"GO:0008152, GO:0022414, GO:0009987",Hipocampus,GO:0003824,"GO:0140535, GO:0005622, GO:0043226, GO:1902494"
P26516,PSMD7_MOUSE,26S proteasome non-ATPase regulatory subunit 7,Mus musculus (Mouse),"GO:0008152, GO:0009987",Hipocampus,"GO:0005488, GO:0003824","GO:0140535, GO:1902494"
P35276,FT,Ras-related protein Rab-3D,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987, GO:0051179",Hipocampus,"GO:0005488, GO:0003824","GO:0016020, GO:0005622, GO:0043226, GO:0099080"
O88851,RBBP9_MOUSE,Putative hydrolase RBBP9 {ECO:0000250|UniProtKB:O75884},Mus musculus (Mouse),GO:0065007,Hipocampus,GO:0003824,
P62746,FT,Rho-related GTP-binding protein RhoB,Mus musculus (Mouse),"GO:0032502, GO:0022610, GO:0009987, GO:0040011, GO:0051179, GO:0050896, GO:0065007",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0005737, GO:0016020"
Q91VI7,RINI_MOUSE,Ribonuclease inhibitor,Mus musculus (Mouse),GO:0065007,Hipocampus,GO:0098772,
Q9CXW2,RT22_MOUSE,"28S ribosomal protein S22, mitochondrial",Mus musculus (Mouse),,Hipocampus,GO:0005198,"GO:0005622, GO:0043226, GO:1990904, GO:0098798"
Q99LS3,SERB_MOUSE,Phosphoserine phosphatase,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0050896",Hipocampus,"GO:0005488, GO:0003824",GO:0042995
Q8VHL1,SETD7_MOUSE,Histone-lysine N-methyltransferase SETD7,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987, GO:0050896",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226"
Q8VDQ8,SIR2_MOUSE,NAD-dependent protein deacetylase sirtuin-2,Mus musculus (Mouse),"GO:0022414, GO:0009987, GO:0050896, GO:0008152, GO:0065007",Hipocampus,"GO:0005488, GO:0003824","GO:0005622, GO:0043226, GO:0016020, GO:0000785, GO:0030427, GO:0005815, GO:0099080, GO:0042995, GO:0030054"
Q6P8X1,SNX6_MOUSE,Sorting nexin-6,Mus musculus (Mouse),"GO:0051179, GO:0009987, GO:0050896, GO:0065007",Hipocampus,GO:0005488,"GO:0005622, GO:0043226, GO:0016020, GO:0098796"
Q6P069,SORCN_MOUSE,Sorcin,Mus musculus (Mouse),"GO:0032502, GO:0051179, GO:0065007, GO:0009987",Hipocampus,GO:0005488,"GO:0044306, GO:0005622, GO:0098793, GO:0043226, GO:0016020, GO:0042995"
P16546,SPTN1_MOUSE,"Spectrin alpha chain, non-erythrocytic 1",Mus musculus (Mouse),"GO:0065007, GO:0009987",Hipocampus,GO:0005488,"GO:0030054, GO:0005622, GO:0043226, GO:0016020"
Q9QZX7,SRR_MOUSE,Serine racemase {ECO:0000303|PubMed:10557334},Mus musculus (Mouse),"GO:0032502, GO:0008152, GO:0009987, GO:0050896",Hipocampus,"GO:0005488, GO:0003824","GO:0044297, GO:0016020"
Q9CZD3,GARS_MOUSE,Glycine--tRNA ligase,Mus musculus (Mouse),"GO:0008152, GO:0009987",Hipocampus,"GO:0005488, GO:0003824","GO:0042995, GO:0005622, GO:0043226"
P68369,TBA1A_MOUSE,Tubulin alpha-1A chain,Mus musculus (Mouse),"GO:0065007, GO:0009987",Hipocampus,"GO:0005488, GO:0003824, GO:0005198","GO:0005622, GO:0043226, GO:0016020, GO:0099080, GO:0030054"
P05213,TBA1B_MOUSE,Tubulin alpha-1B chain,Mus musculus (Mouse),"GO:0009987, GO:0050896",Hipocampus,"GO:0005488, GO:0003824, GO:0005198","GO:0043226, GO:0005622, GO:0016020, GO:0099080"
P05214,TBA3_MOUSE,Tubulin alpha-3 chain,Mus musculus (Mouse),GO:0009987,Hipocampus,"GO:0005488, GO:0003824, GO:0005198","GO:0005622, GO:0043226, GO:0005815, GO:0099080, GO:0042995"
P68372,TBB4B_MOUSE,Tubulin beta-4B chain,Mus musculus (Mouse),GO:0009987,Hipocampus,"GO:0005488, GO:0003824, GO:0005198",GO:0099080
Q9D6F9,TBB4A_MOUSE,Tubulin beta-4A chain,Mus musculus (Mouse),"GO:0065007, GO:0009987",Hipocampus,"GO:0005488, GO:0003824, GO:0005198","GO:0042995, GO:0043226, GO:0044297, GO:0099080"
P48774,GSTM5_MOUSE,Glutathione S-transferase Mu 5,Mus musculus (Mouse),"GO:0050896, GO:0008152, GO:0009987, GO:0098754",Olfactory_balb,"GO:0003824, GO:0005488",
Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0009987, GO:0065007, GO:0032502, GO:0040007",Olfactory_balb,"GO:0003824, GO:0005488","GO:1902494, GO:0043226, GO:0042995, GO:0030312, GO:0005622"
Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Olfactory_balb,GO:0003824,"GO:0098798, GO:1902494, GO:0043226, GO:0005622"
P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"GO:0008152, GO:0009987",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0043226, GO:0005622"
Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:1902494, GO:0045239, GO:0043226, GO:0031974, GO:0005622"
Q61753,SERA_MOUSE,D-3-phosphoglycerate dehydrogenase,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0032502, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488",
Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0051179",Olfactory_balb,"GO:0003824, GO:0005488, GO:0005215","GO:0016020, GO:0098798, GO:0098796, GO:0043226, GO:0005622"
Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),GO:0008152,Olfactory_balb,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622"
Q9CPY7,AMPL_MOUSE,Cytosol aminopeptidase {ECO:0000305},Mus musculus (Mouse),,Olfactory_balb,"GO:0003824, GO:0005488","GO:0031984, GO:0043226, GO:0005622"
Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488",
P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"GO:0009987, GO:0023052, GO:0065007, GO:0051179",Olfactory_balb,"GO:0005488, GO:0060090","GO:0016020, GO:0098796"
Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"GO:0032501, GO:0009987, GO:0007610, GO:0051179",Olfactory_balb,GO:0005488,"GO:0016020, GO:0043226, GO:0098793, GO:0044306, GO:0030054, GO:0005622, GO:0019898"
P51859,FT,Hepatoma-derived growth factor,Mus musculus (Mouse),"GO:0050896, GO:0009987, GO:0065007, GO:0051179",Olfactory_balb,"GO:0140110, GO:0005488, GO:0098772","GO:0005667, GO:0043226, GO:0005622"
Q64521,GPDM_MOUSE,"Glycerol-3-phosphate dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0032501, GO:0032502, GO:0040007",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:1902494, GO:0043226, GO:0005622"
Q99LX0,FT,Parkinson disease protein 7 homolog {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0051179, GO:0007610, GO:0009987, GO:0098754, GO:0032501, GO:0023052, GO:0065007, GO:0022414",Olfactory_balb,"GO:0003824, GO:0005488, GO:0098772, GO:0140104, GO:0140110, GO:0016209","GO:0016020, GO:0016604, GO:0043226, GO:0042995, GO:0031974, GO:0005622"
P09411,PGK1_MOUSE,Phosphoglycerate kinase 1,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0009987, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488",GO:0016020
Q60692,PSB6_MOUSE,Proteasome subunit beta type-6,Mus musculus (Mouse),"GO:0008152, GO:0009987",Olfactory_balb,GO:0003824,"GO:1902494, GO:0140535, GO:0043226, GO:0005622"
P09671,SODM_MOUSE,"Superoxide dismutase [Mn], mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0007610, GO:0009987, GO:0098754, GO:0032501, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488, GO:0016209","GO:0016020, GO:0043226, GO:0031974, GO:0009295, GO:0005622"
Q61644,PACN1_MOUSE,Protein kinase C and casein kinase substrate in neurons protein 1,Mus musculus (Mouse),"GO:0009987, GO:0065007, GO:0051179, GO:0032502",Olfactory_balb,GO:0005488,"GO:0031256, GO:0016020, GO:0043226, GO:0098793, GO:0044306, GO:0030054, GO:0005622"
Q01853,TERA_MOUSE,Transitional endoplasmic reticulum ATPase,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0051179, GO:0044419, GO:0009987, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488, GO:0098772","GO:0016020, GO:1902494, GO:0140535, GO:0098796, GO:0043226, GO:0140534, GO:0030054, GO:0005622, GO:0090734, GO:0099080"
P40142,TKT_MOUSE,Transketolase,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0016604, GO:0043226, GO:0005622"
Q3U0V1,FUBP2_MOUSE,Far upstream element-binding protein 2,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0051179, GO:0009987, GO:0065007",Olfactory_balb,GO:0005488,"GO:0043226, GO:0042995, GO:0005622, GO:0044297, GO:0099080"
P17183,ENOG_MOUSE,Gamma-enolase,Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488","GO:0030427, GO:0016020, GO:1902494, GO:0042995, GO:0005737, GO:0044297"
P62196,PRS8_MOUSE,26S proteasome regulatory subunit 8,Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488","GO:1902494, GO:0140535, GO:0043226, GO:0140513, GO:0005667, GO:0005622"
P18872,FT,Guanine nucleotide-binding protein G(o) subunit alpha,Mus musculus (Mouse),"GO:0050896, GO:0007610, GO:0009987, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:1902494, GO:0098796, GO:0042995"
P63085,MK01_MOUSE,Mitogen-activated protein kinase 1,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0051179, GO:0002376, GO:0009987, GO:0032501, GO:0065007, GO:0022414, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0043226, GO:0042995, GO:0005737, GO:0030054, GO:0005622"
P68373,TBA1C_MOUSE,Tubulin alpha-1C chain,Mus musculus (Mouse),GO:0009987,Olfactory_balb,"GO:0003824, GO:0005488, GO:0005198","GO:0016020, GO:0099080, GO:0043226, GO:0005622"
Q8BVI4,DHPR_MOUSE,Dihydropteridine reductase,Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0050896, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0042995"
P18760,COF1_MOUSE,Cofilin-1,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0051179, GO:0044419, GO:0009987, GO:0040011, GO:0065007, GO:0032502",Olfactory_balb,GO:0005488,"GO:0031256, GO:0016020, GO:0030427, GO:0043226, GO:0042995, GO:0098794, GO:0032432, GO:0030054, GO:0005622, GO:0044297"
P47753,CAZA1_MOUSE,F-actin-capping protein subunit alpha-1,Mus musculus (Mouse),"GO:0009987, GO:0065007",Olfactory_balb,GO:0005488,"GO:0098862, GO:0043226, GO:0030054, GO:0005622"
Q99KJ8,DCTN2_MOUSE,Dynactin subunit 2,Mus musculus (Mouse),"GO:0009987, GO:0051179",Olfactory_balb,"GO:0003824, GO:0005488","GO:0030427, GO:1902494, GO:0043226, GO:0005875, GO:0005815, GO:0005622, GO:0099080"
P15105,GLNA_MOUSE,Glutamine synthetase {ECO:0000303|PubMed:30158707},Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0009987, GO:0019740, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0043226, GO:0042995, GO:0044306, GO:0098793, GO:0005622"
Q9QUM9,PSA6_MOUSE,Proteasome subunit alpha type-6,Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:1902494, GO:0140535, GO:1990904, GO:0043226, GO:0005622, GO:0099080"
Q9DCT2,NDUS3_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0065007",Olfactory_balb,GO:0003824,"GO:0016020, GO:1902494, GO:0098798, GO:0098796, GO:0043226, GO:0005622"
Q05920,PYC_MOUSE,"Pyruvate carboxylase, mitochondrial",Mus musculus (Mouse),"GO:0044419, GO:0008152, GO:0065007, GO:0009987",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0031974, GO:0043226, GO:0005622"
Q91WD5,NDUS2_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0050896",Olfactory_balb,"GO:0003824, GO:0005488","GO:0098798, GO:1902494, GO:0098796, GO:0043226, GO:0005622"
P67778,PHB_MOUSE,Prohibitin {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0044419, GO:0002376, GO:0009987, GO:0032501, GO:0065007, GO:0022414, GO:0032502",Olfactory_balb,"GO:0140110, GO:0005488, GO:0098772","GO:0016020, GO:0098798, GO:0098796, GO:0043226, GO:0030054, GO:0005622, GO:0019898, GO:0031224"
P97807,FUMH_MOUSE,"Fumarate hydratase, mitochondrial {ECO:0000303|PubMed:17418408}",Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0050896, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488","GO:0090734, GO:0043226, GO:0005622"
P61164,ACTZ_MOUSE,Alpha-centractin,Mus musculus (Mouse),"GO:0022414, GO:0032502",Olfactory_balb,GO:0005488,"GO:0005737, GO:0005815, GO:0043226, GO:0005622"
P01942,HBA_MOUSE,Hemoglobin subunit alpha,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0044419, GO:0009987, GO:0098754, GO:0032501, GO:0032502",Olfactory_balb,"GO:0140104, GO:0005488",GO:1990904
P17742,PPIA_MOUSE,Peptidyl-prolyl cis-trans isomerase A,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0002376, GO:0009987, GO:0022610, GO:0040011, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q91YT0,NDUV1_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:1902494, GO:0098798, GO:0098796, GO:0043226, GO:0005622"
P61089,UBE2N_MOUSE,Ubiquitin-conjugating enzyme E2 N,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0002376, GO:0009987, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488","GO:1902494, GO:0140535, GO:0043226, GO:0005622"
O08749,FT,"Dihydrolipoyl dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0065007, GO:0022414, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:1902494, GO:0045239, GO:0043226, GO:0042995, GO:0031974, GO:0005622"
O55023,IMPA1_MOUSE,Inositol monophosphatase 1,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488","GO:0044297, GO:0042995"
Q8CGK3,LONM_MOUSE,"Lon protease homolog, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03120}",Mus musculus (Mouse),"GO:0050896, GO:0008152, GO:0009987, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0009295, GO:0031974, GO:0043226, GO:0005622"
P63038,CH60_MOUSE,"60 kDa heat shock protein, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0051179, GO:0044419, GO:0002376, GO:0009987, GO:0032501, GO:0065007",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0098796, GO:0043226, GO:0031974, GO:0043235, GO:0005622"
P62259,1433E_MOUSE,14-3-3 protein epsilon,Mus musculus (Mouse),"GO:0050896, GO:0051179, GO:0009987, GO:0040011, GO:0065007, GO:0032502",Olfactory_balb,"GO:0005488, GO:0098772","GO:0016020, GO:0043226, GO:0042995, GO:0005875, GO:0030054, GO:0005622"
Q8QZT1,THIL_MOUSE,"Acetyl-CoA acetyltransferase, mitochondrial",Mus musculus (Mouse),"GO:0050896, GO:0008152, GO:0009987, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0031974, GO:0043226, GO:0005622"
Q9CZ44,NSF1C_MOUSE,NSFL1 cofactor p47,Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0065007, GO:0051179",Olfactory_balb,GO:0005488,"GO:0016020, GO:0043226, GO:0031984, GO:0005815, GO:0005622"
Q5U410,G3P_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0044419, GO:0002376, GO:0009987, GO:0032501, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488, GO:0098772","GO:0016020, GO:0030054, GO:0043226, GO:0005622"
Q8CHH9,SEPT8_MOUSE,Septin-8 {ECO:0000305},Mus musculus (Mouse),"GO:0009987, GO:0065007, GO:0051179",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0043226, GO:0005622, GO:0042995"
Q9EQF6,DPYL5_MOUSE,Dihydropyrimidinase-related protein 5,Mus musculus (Mouse),GO:0009987,Olfactory_balb,"GO:0003824, GO:0005488","GO:0044297, GO:0042995"
Q64288,OMP_MOUSE,Olfactory marker protein,Mus musculus (Mouse),"GO:0032501, GO:0009987, GO:0032502, GO:0065007",Olfactory_balb,GO:0005488,"GO:0044297, GO:0043226, GO:0005622, GO:0042995"
Q8R5C5,ACTY_MOUSE,Beta-centractin,Mus musculus (Mouse),,Olfactory_balb,GO:0005488,"GO:0005815, GO:0043226, GO:0005622"
Q9D8E6,RL4_MOUSE,60S ribosomal protein L4,Mus musculus (Mouse),"GO:0009987, GO:0008152, GO:0065007",Olfactory_balb,"GO:0005488, GO:0005198","GO:1990904, GO:0043226, GO:0005622"
P12787,COX5A_MOUSE,"Cytochrome c oxidase subunit 5A, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Olfactory_balb,"GO:0003824, GO:0005488, GO:0005215","GO:0098798, GO:0016020, GO:0098796, GO:0043226, GO:0070069, GO:0005622"
P15532,NDKA_MOUSE,Nucleoside diphosphate kinase A,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0051179, GO:0009987, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0031256, GO:0016020, GO:0043226, GO:0005815, GO:0005622, GO:0099080"
Q9D7X3,DUS3_MOUSE,Dual specificity protein phosphatase 3,Mus musculus (Mouse),"GO:0008152, GO:0050896, GO:0009987, GO:0032501, GO:0065007, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q9CWJ9,PUR9_MOUSE,Bifunctional purine biosynthesis protein ATIC,Mus musculus (Mouse),"GO:0050896, GO:0008152, GO:0009987, GO:0032502",Olfactory_balb,"GO:0003824, GO:0005488","GO:0016020, GO:0043226, GO:0005622"
Q05816,FT,Fatty acid-binding protein 5 {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0051179, GO:0009987, GO:0032501, GO:0065007",Olfactory_balb,"GO:0005488, GO:0005215","GO:0043226, GO:0030054, GO:0005622"
