Uniprot Entry,Accession Name,Protein Name,Organism,Brain Parts,Biological Process,Molecular Function,Cellular Component
Q8VC03,EMAL3_MOUSE,Echinoderm microtubule-associated protein-like 3 (EMAP-3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q91YQ1,RAB7L_MOUSE,Ras-related protein Rab-7L1 (Rab-7-like protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q60876,4EBP1_MOUSE,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P57724,PCBP4_MOUSE,Poly(rC)-binding protein 4 (Alpha-CP4),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q925F2,ESAM_MOUSE,Endothelial cell-selective adhesion molecule,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q61503,5NTD_MOUSE,5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P70245,EBP_MOUSE,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O54890,ITB3_MOUSE,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q00897,A1AT4_MOUSE,Alpha-1-antitrypsin 1-4 (Alpha-1 protease inhibitor 4) (Serine protease inhibitor 1-4) (Serine protease inhibitor A1d) (Serpin A1d),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P43275,H11_MOUSE,Histone H1.1 (H1 VAR.3) (Histone H1a) (H1a),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q3V3Q7,PACS2_MOUSE,Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q80XL6,ACD11_MOUSE,Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.-),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8K1R7,NEK9_MOUSE,Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
F8VPQ2,ARI4A_MOUSE,AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q00915,RET1_MOUSE,Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I) (mCRBPI),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q7TNF8,RIMB1_MOUSE,Peripheral-type benzodiazepine receptor-associated protein 1 (PRAX-1) (Peripheral benzodiazepine receptor-interacting protein) (PBR-IP) (RIMS-binding protein 1) (RIM-BP1) (TSPO-associated protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8K3E5,AHI1_MOUSE,Jouberin (Abelson helper integration site 1 protein) (AHI-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus']",[],[],[]
Q6P9J9,ANO6_MOUSE,Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9DBS1,TMM43_MOUSE,Transmembrane protein 43 (Protein LUMA),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q4VBD2,TAPT1_MOUSE,Transmembrane anterior posterior transformation protein 1,Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
B9EKI3,TMF1_MOUSE,TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q91WR3,ASCC2_MOUSE,Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P42227,STAT3_MOUSE,Signal transducer and activator of transcription 3 (Acute-phase response factor),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BYU6,TOIP2_MOUSE,Torsin-1A-interacting protein 2,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9ER81,IFG15_MOUSE,"Torsin-1A-interacting protein 2, isoform IFRG15 (15 kDa interferon-responsive protein) (IFRG15)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q4VAA7,SNX33_MOUSE,Sorting nexin-33 (SH3 and PX domain-containing protein 3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q60855,RIPK1_MOUSE,Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q91YK0,LRC49_MOUSE,Leucine-rich repeat-containing protein 49 (Tubulin polyglutamylase complex subunit 4) (PGs4) (p79),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q91ZU6,DYST_MOUSE,Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q8BHZ4,ZN592_MOUSE,Zinc finger protein 592 (Zfp-592),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P14602,HSPB1_MOUSE,Heat shock protein beta-1 (HspB1) (Growth-related 25 kDa protein) (Heat shock 25 kDa protein) (HSP 25) (Heat shock 27 kDa protein) (HSP 27) (p25),Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus', 'Medulla']",[],[],[]
Q8VDF2,UHRF1_MOUSE,E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (RING-type E3 ubiquitin transferase UHRF1) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (mUhrf1) (Ubiquitin-like-containing PHD and RING finger domains protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8VHY0,CSPG4_MOUSE,Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Proteoglycan AN2),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q9R0M4,PODXL_MOUSE,Podocalyxin (Podocalyxin-like protein 1) (PC) (PCLP-1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q91WL6,SNX11_MOUSE,Sorting nexin-11,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9R0L6,PCM1_MOUSE,Pericentriolar material 1 protein (PCM-1) (mPCM-1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P15089,CBPA3_MOUSE,Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
E9Q555,RN213_MOUSE,E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9D6N1,CAH13_MOUSE,Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P01867,IGG2B_MOUSE,Ig gamma-2B chain C region,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q6PAL8,DEN5A_MOUSE,DENN domain-containing protein 5A (Rab6-interacting protein 1) (Rab6IP1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
P61620,S61A1_MOUSE,Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q8CE46,PUS7L_MOUSE,Pseudouridylate synthase 7 homolog-like protein (EC 5.4.99.-),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q3TJD7,PDLI7_MOUSE,PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q6EDY6,CARL1_MOUSE,"F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (CARML1) (Leucine-rich repeat-containing protein 16A)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9Z1Q5,CLIC1_MOUSE,Chloride intracellular channel protein 1 (Nuclear chloride ion channel 27) (NCC27),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q3URU2,PEG3_MOUSE,Paternally-expressed gene 3 protein (ASF-1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9ESX5,DKC1_MOUSE,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum', 'Medulla']",[],[],[]
Q80Z96,VANG1_MOUSE,Vang-like protein 1 (Loop-tail protein 2) (Van Gogh-like protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O54754,AOXA_MOUSE,Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Retinal oxidase),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q05D44,IF2P_MOUSE,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q5DU57,SPT13_MOUSE,Spermatogenesis-associated protein 13 (APC-stimulated guanine nucleotide exchange factor 2) (Asef2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q6ZWQ0,SYNE2_MOUSE,Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q80XU3,NUCKS_MOUSE,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (JC7),Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus', 'Cerebellum']",[],[],[]
Q6NSU3,GL8D1_MOUSE,Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P58466,CTDS1_MOUSE,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 (EC 3.1.3.16) (Golli-interacting protein) (GIP) (Nuclear LIM interactor-interacting factor 3) (NLI-interacting factor 3) (Small C-terminal domain phosphatase 1) (SCP1) (Small CTD phosphatase 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q61739,ITA6_MOUSE,Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain Integrin alpha-6 light chain Processed integrin alpha-6 (Alpha6p)],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P09242,PPBT_MOUSE,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase 2) (Alkaline phosphatase liver/bone/kidney isozyme)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8C6B2,RTKN_MOUSE,Rhotekin,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
A2APV2,FMNL2_MOUSE,Formin-like protein 2 (Protein Man),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q6NZF1,ZC11A_MOUSE,Zinc finger CCCH domain-containing protein 11A,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P19426,NELFE_MOUSE,Negative elongation factor E (NELF-E) (RNA-binding protein RD),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q7TNV0,DEK_MOUSE,Protein DEK,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8K1H7,T11L2_MOUSE,T-complex protein 11-like protein 2,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P00375,DYR_MOUSE,Dihydrofolate reductase (EC 1.5.1.3),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
P30412,PPIC_MOUSE,Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (Rotamase C),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q922F4,TBB6_MOUSE,Tubulin beta-6 chain,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9JHP7,PLGT2_MOUSE,Protein O-glucosyltransferase 2 (EC 2.4.1.-) (Endoplasmic reticulum resident protein 58) (ER protein 58) (ERp58) (KDEL motif-containing protein 1) (Protein O-xylosyltransferase POGLUT2) (EC 2.4.2.-),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q80XQ2,TBCD5_MOUSE,TBC1 domain family member 5,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BWR8,RHPN2_MOUSE,Rhophilin-2 (GTP-Rho-binding protein 2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P07759,SPA3K_MOUSE,Serine protease inhibitor A3K (Serpin A3K) (Contrapsin) (SPI-2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O35639,ANXA3_MOUSE,Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P06802,ENPP1_MOUSE,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Lymphocyte antigen 41) (Ly-41) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1) Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q01237,HMDH_MOUSE,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P09055,ITB1_MOUSE,Integrin beta-1 (Fibronectin receptor subunit beta) (VLA-4 subunit beta) (CD antigen CD29),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P32507,NECT2_MOUSE,Nectin-2 (Herpes virus entry mediator B) (Herpesvirus entry mediator B) (HveB) (Murine herpes virus entry protein B) (mHveB) (Nectin cell adhesion molecule 2) (Poliovirus receptor homolog) (Poliovirus receptor-related protein 2) (CD antigen CD112),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9JKC7,AP4M1_MOUSE,AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q61823,PDCD4_MOUSE,Programmed cell death protein 4 (Protein MA-3) (Topoisomerase-inhibitor suppressed protein),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O08784,TCOF_MOUSE,Treacle protein (Treacher Collins syndrome protein homolog),Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus']",[],[],[]
Q9WV32,ARC1B_MOUSE,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P10922,H10_MOUSE,"Histone H1.0 (Histone H1') (Histone H1(0)) (MyD196) [Cleaved into: Histone H1.0, N-terminally processed]",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q05793,PGBM_MOUSE,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) [Cleaved into: Endorepellin LG3 peptide],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9JIK5,DDX21_MOUSE,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P97447,FHL1_MOUSE,Four and a half LIM domains protein 1 (FHL-1) (KyoT) (RBP-associated molecule 14-1) (RAM14-1) (Skeletal muscle LIM-protein 1) (SLIM) (SLIM-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q8CHR6,DPYD_MOUSE,Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q00623,APOA1_MOUSE,Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I) Truncated apolipoprotein A-I],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9QX47,SON_MOUSE,Protein SON (Negative regulatory element-binding protein) (NRE-binding protein),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
P54103,DNJC2_MOUSE,DnaJ homolog subfamily C member 2 (Mouse Id associate 1) (MIDA1) (Zuotin-related factor 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8VDV3,R3GEF_MOUSE,Guanine nucleotide exchange factor for Rab-3A (Rab-3A-interacting-like protein 1) (Rab3A-interacting-like protein 1) (Rabin3-like 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9R0X5,RPGR_MOUSE,X-linked retinitis pigmentosa GTPase regulator (mRpgr),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
P43274,H14_MOUSE,Histone H1.4 (H1 VAR.2) (H1e),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q61194,P3C2A_MOUSE,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Cpk-m) (Phosphoinositide 3-kinase-C2-alpha) (p170),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q91W92,BORG5_MOUSE,Cdc42 effector protein 1 (Binder of Rho GTPases 5),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P63024,VAMP3_MOUSE,Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
A2AKG8,FOCAD_MOUSE,Focadhesin,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P17047,LAMP2_MOUSE,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (Lysosomal membrane glycoprotein type B) (LGP-B) (CD antigen CD107b),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q99PL5,RRBP1_MOUSE,Ribosome-binding protein 1 (Ribosome receptor protein) (RRp) (mRRp),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9DBG5,PLIN3_MOUSE,Perilipin-3 (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9WVL2,STAT2_MOUSE,Signal transducer and activator of transcription 2,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q921I6,SH3B4_MOUSE,SH3 domain-binding protein 4,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9R1J0,NSDHL_MOUSE,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BNJ2,ATS4_MOUSE,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (Aggrecanase-1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q6P9S0,MTSS2_MOUSE,Protein MTSS 2 (MTSS1-like protein),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P57080,UBP25_MOUSE,Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25) (mUSP25),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BTW9,PAK4_MOUSE,Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P26231,CTNA1_MOUSE,Catenin alpha-1 (102 kDa cadherin-associated protein) (Alpha E-catenin) (CAP102),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q80TT2,BAIP3_MOUSE,BAI1-associated protein 3 (BAP3) (Brain-specific angiogenesis inhibitor I-associated protein 3) (Baiap3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9JLQ0,CD2AP_MOUSE,CD2-associated protein (Mesenchyme-to-epithelium transition protein with SH3 domains 1) (METS-1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O08638,MYH11_MOUSE,"Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q9QXG4,ACSA_MOUSE,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q61029,LAP2B_MOUSE,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma (Thymopoietin isoforms beta/delta/epsilon/gamma) (TP beta/delta/epsilon/gamma)",Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q61033,LAP2A_MOUSE,"Lamina-associated polypeptide 2, isoforms alpha/zeta (Thymopoietin isoforms alpha/zeta) (TP alpha/zeta)",Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
P11214,TPA_MOUSE,Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) [Cleaved into: Tissue-type plasminogen activator chain A Tissue-type plasminogen activator chain B],Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q8BZF8,PGM5_MOUSE,Phosphoglucomutase-like protein 5,Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q6PCX7,RGMA_MOUSE,Repulsive guidance molecule A (RGM domain family member A),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P36423,THAS_MOUSE,Thromboxane-A synthase (TS) (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q99KC8,VMA5A_MOUSE,von Willebrand factor A domain-containing protein 5A (Loss of heterozygosity 11 chromosomal region 2 gene A protein homolog),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8K4X7,PLCD_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase delta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 4) (1-AGP acyltransferase 4) (1-AGPAT 4) (Lysophosphatidic acid acyltransferase delta) (LPAAT-delta),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8CI51,PDLI5_MOUSE,PDZ and LIM domain protein 5 (Enigma homolog) (Enigma-like PDZ and LIM domains protein),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BIK4,DOCK9_MOUSE,Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin-1) (Zizimin-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus', 'Cerebellum', 'Medulla']",[],[],[]
Q3UN04,UBP30_MOUSE,Ubiquitin carboxyl-terminal hydrolase 30 (EC 3.4.19.12) (Deubiquitinating enzyme 30) (Ubiquitin thioesterase 30) (Ubiquitin-specific-processing protease 30) (Ub-specific protease 30),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q7TSV4,PGM2_MOUSE,Phosphoglucomutase-2 (PGM 2) (EC 5.4.2.2) (Glucose phosphomutase 2) (Phosphodeoxyribomutase) (Phosphoglucomutase-1) (Phosphopentomutase) (EC 5.4.2.7),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9D0F9,PGM1_MOUSE,Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1) (Phosphoglucomutase-2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P06537,GCR_MOUSE,Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9CQS8,SC61B_MOUSE,Protein transport protein Sec61 subunit beta,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8VBT0,TMX1_MOUSE,Thioredoxin-related transmembrane protein 1 (Thioredoxin domain-containing protein 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q9EP71,RAI14_MOUSE,Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14) (p125),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8QZV7,INT13_MOUSE,Integrator complex subunit 13 (Cell cycle regulator Mat89Bb homolog) (Protein asunder homolog) (Spermatogenesis-associated protein 30),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P07309,TTHY_MOUSE,Transthyretin (Prealbumin),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BT60,CPNE3_MOUSE,Copine-3 (Copine III),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9CQW0,EMC6_MOUSE,ER membrane protein complex subunit 6 (Transmembrane protein 93),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9ET01,PYGL_MOUSE,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q80X41,VRK1_MOUSE,Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Serine/threonine-protein kinase 51PK) (Vaccinia-related kinase 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
