Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name
Q3U6C5,Q3U6C5_MOUSE,Mus musculus (Mouse),"Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, NADP {ECO:0000256|ARBA:ARBA00022857}, Transport {ECO:0000256|ARBA:ARBA00022538, ECO:0000256|ARBA:ARBA00022882}, Ion transport {ECO:0000256|ARBA:ARBA00022538,, Voltage-gated channel {ECO:0000256|ARBA:ARBA00022882}, ECO:0000256|ARBA:ARBA00022882},  Membrane {ECO:0000256|ARBA:ARBA00022475}, Potassium {ECO:0000256|ARBA:ARBA00022538}, Potassium transport {ECO:0000256|ARBA:ARBA00022538}, Ion channel {ECO:0000256|ARBA:ARBA00022882}, Oxidoreductase {ECO:0000256|ARBA:ARBA00023002}","plasma membrane IEA, integral component of membrane IEA, cytoplasm IEA","GO:0005737, GO:0016021, GO:0005886","voltage-gated potassium channel activity IEA, oxidoreductase activity IEA","GO:0005249, GO:0016491",regulation of ion transmembrane transport IEA,GO:0034765,K(+) channel subunit beta-1 {ECO:0000256|ARBA:ARBA00016431}
Q3U6D2,Q3U6D2_MOUSE,Mus musculus (Mouse),,,,,,,,
Q3U6D7,Q3U6D7_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,,,,,MARVEL domain-containing protein {ECO:0000259|PROSITE:PS51225}
Q3U6K9,Q3U6K9_MOUSE,Mus musculus (Mouse),"Amino-acid biosynthesis {ECO:0000256|ARBA:ARBA00023299,, Aminotransferase {ECO:0000256|RuleBase:RU004505}, Serine biosynthesis {ECO:0000256|ARBA:ARBA00023299,, ECO:0000213|MaxQB:Q3U6K9, ECO:0000213|PeptideAtlas:Q3U6K9}, ECO:0000256|RuleBase:RU004505}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transferase {ECO:0000256|RuleBase:RU004505}, Proteomics identification {ECO:0000213|EPD:Q3U6K9,",,,O-phospho-L-serine,GO:0004648,L-serine biosynthetic process IEA,GO:0006564,Phosphoserine aminotransferase {ECO:0000256|RuleBase:RU004505}
Q3U6U7,Q3U6U7_MOUSE,Mus musculus (Mouse),"Ligase {ECO:0000256|ARBA:ARBA00023146, ECO:0000256|RuleBase:RU363036}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, ECO:0000256|RuleBase:RU363036}, Aminoacyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00023146,, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, Protein biosynthesis {ECO:0000256|ARBA:ARBA00022917,, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU363036}",,,"tryptophan-tRNA ligase activity IEA, ATP binding IEA","GO:0005524, GO:0004830",tryptophanyl-tRNA aminoacylation IEA,GO:0006436,T1-TrpRS {ECO:0000256|ARBA:ARBA00017561}
Q3U6X6,Q3U6X6_MOUSE,Mus musculus (Mouse),"Glucose metabolism {ECO:0000256|ARBA:ARBA00022526}, Metal-binding {ECO:0000256|ARBA:ARBA00022723,, Magnesium {ECO:0000256|ARBA:ARBA00022842, ECO:0000256|RuleBase:RU004326}, Carbohydrate metabolism {ECO:0000256|ARBA:ARBA00022526}, ECO:0000256|RuleBase:RU004326}",cytoplasm IEA,GO:0005737,"magnesium ion binding IEA, intramolecular transferase activity, phosphotransferases IEA","GO:0016868, GO:0000287",glucose metabolic process IEA,GO:0006006,
Q3U6Z1,Q3U6Z1_MOUSE,Mus musculus (Mouse),"Repeat {ECO:0000256|ARBA:ARBA00022737}, Calcium {ECO:0000256|PROSITE-ProRule:PRU00448}, Actin-binding {ECO:0000256|ARBA:ARBA00023203}",,,"calcium ion binding IEA, actin filament binding IEA","GO:0005509, GO:0051015",actin filament bundle assembly IEA,GO:0051017,
Q3U7E0,Q3U7E0_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Hydrogen ion transport {ECO:0000256|ARBA:ARBA00022781,, Transport {ECO:0000256|ARBA:ARBA00022781, ECO:0000256|RuleBase:RU364019}, ECO:0000256|RuleBase:RU364019}, Ion transport {ECO:0000256|ARBA:ARBA00022781,",vacuolar proton-transporting V-type ATPase complex IEA,GO:0016471,ATPase-coupled transmembrane transporter activity IEA,GO:0042626,proton transmembrane transport IEA,GO:1902600,V-type proton ATPase subunit G {ECO:0000256|RuleBase:RU364019}
Q3U7K4,Q3U7K4_MOUSE,Mus musculus (Mouse),Lyase {ECO:0000256|ARBA:ARBA00023239},,,lyase activity IEA,GO:0016829,,,DUF4392 domain-containing protein {ECO:0000259|Pfam:PF14336}
Q3U804,Q3U804_MOUSE,Mus musculus (Mouse),,,,,,,,
Q3U827,RN180_MOUSE,Mus musculus (Mouse)," Zinc,  Reference proteome, Transmembrane helix,  Endoplasmic reticulum,  Ubl conjugation pathway,  Metal-binding, Alternative splicing,  Transmembrane, Nucleus,  Phosphoprotein,  Membrane,  Transferase,  Zinc-finger","intrinsic component of endoplasmic reticulum membrane IDA, integral component of membrane IEA, nuclear envelope IEA","GO:0005635, GO:0016021, GO:0031227","metal ion binding IEA, ubiquitin conjugating enzyme binding IDA, ubiquitin protein ligase activity IDA","GO:0061630, GO:0031624, GO:0046872","organic cyclic compound metabolic process IMP, positive regulation of protein ubiquitination IDA, regulation of catalytic activity IMP, norepinephrine metabolic process IMP, protein polyubiquitination IDA, serotonin metabolic process IMP, positive regulation of proteasomal ubiquitin-dependent protein catabolic process IDA, adult behavior IMP","GO:0030534, GO:0042415, GO:0000209, GO:0042428, GO:0050790, GO:0032436, GO:0031398, GO:1901360",E3 ubiquitin-protein ligase RNF180
Q3U890,Q3U890_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Protein biosynthesis {ECO:0000256|ARBA:ARBA00022917}, Ligase {ECO:0000256|ARBA:ARBA00023146}, Aminoacyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00023146}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}, ATP-binding {ECO:0000256|ARBA:ARBA00022840}",cytoplasm IEA,GO:0005737,"histidine-tRNA ligase activity IEA, ATP binding IEA","GO:0005524, GO:0004821",histidyl-tRNA aminoacylation IEA,GO:0006427,"Histidine--tRNA ligase, cytoplasmic {ECO:0000256|ARBA:ARBA00015302}"
Q3U8F0,Q3U8F0_MOUSE,Mus musculus (Mouse),,actin cytoskeleton IEA,GO:0015629,actin filament binding IEA,GO:0051015,actin cytoskeleton organization IEA,GO:0030036,
Q3U8N1,Q3U8N1_MOUSE,Mus musculus (Mouse),"Aminoacyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00023146}, Ligase {ECO:0000256|ARBA:ARBA00023146}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}, ATP-binding {ECO:0000256|ARBA:ARBA00022840}",,,"serine-tRNA ligase activity IEA, ATP binding IEA","GO:0004828, GO:0005524","seryl-tRNA aminoacylation IEA, selenocysteinyl-tRNA(Sec) biosynthetic process IEA","GO:0006434, GO:0097056",Seryl-tRNA synthetase {ECO:0000256|ARBA:ARBA00016155}
Q3U8R9,Q3U8R9_MOUSE,Mus musculus (Mouse),Cytoplasm {ECO:0000256|ARBA:ARBA00022490},,,,,,,PITH domain-containing protein {ECO:0000259|PROSITE:PS51532}
Q3U920,Q3U920_MOUSE,Mus musculus (Mouse),"Cleavage on pair of basic residues {ECO:0000256|ARBA:ARBA00022685}, Serine protease {ECO:0000256|ARBA:ARBA00022825}, Transmembrane {ECO:0000256|SAM:Phobius}, Membrane {ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|SAM:Phobius}, Hydrolase {ECO:0000256|ARBA:ARBA00022825}, Protease {ECO:0000256|ARBA:ARBA00022825}",integral component of membrane IEA,GO:0016021,serine-type endopeptidase activity IEA,GO:0004252,,,P/Homo B domain-containing protein {ECO:0000259|PROSITE:PS51829}
Q3U931,Q3U931_MOUSE,Mus musculus (Mouse),"Innate immunity {ECO:0000256|ARBA:ARBA00022588}, ProRule:PRU00176}, RNA-binding {ECO:0000256|ARBA:ARBA00022884, ECO:0000256|PROSITE-, Immunity {ECO:0000256|ARBA:ARBA00022588}",cytoplasmic stress granule IEA,GO:0010494,RNA binding IEA,GO:0003723,"stress granule assembly IEA, innate immune response IEA","GO:0045087, GO:0034063",
Q3U9A8,Q3U9A8_MOUSE,Mus musculus (Mouse),,,,,,,,SH3 domain-binding glutamic acid-rich-like protein {ECO:0000256|PIRNR:PIRNR008142}
Q3U9D4,Q3U9D4_MOUSE,Mus musculus (Mouse)," Transport {ECO:0000256|RuleBase:RU362099}, Ion transport {ECO:0000256|RuleBase:RU362099}, Membrane {ECO:0000256|ARBA:ARBA00022968, ECO:0000256|ARBA:ARBA00022989,, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Signal-anchor {ECO:0000256|ARBA:ARBA00022968}, ECO:0000256|ARBA:ARBA00022989, ECO:0000256|RuleBase:RU362099}, ECO:0000256|RuleBase:RU362099}, Transmembrane {ECO:0000256|ARBA:ARBA00022968,",sodium,GO:0005890,,,"potassium ion transport IEA, sodium ion transport IEA","GO:0006814, GO:0006813",Sodium/potassium-transporting ATPase subunit beta {ECO:0000256|RuleBase:RU362099}
Q3U9G3,Q3U9G3_MOUSE,Mus musculus (Mouse),,"protein-containing complex ISO, late endosome ISO","GO:0005770, GO:0032991","PDZ domain binding ISO, protein kinase binding ISO, protein kinase regulator activity ISO","GO:0030165, GO:0019887, GO:0019901","in utero embryonic development IMP, positive regulation of neuron projection development ISO, nerve growth factor signaling pathway ISO, dendrite morphogenesis IMP, cellular response to nerve growth factor stimulus ISO","GO:0001701, GO:0048813, GO:0038180, GO:1990090, GO:0010976",
Q3U9U9,Q3U9U9_MOUSE,Mus musculus (Mouse),Coiled coil {ECO:0000256|SAM:Coils},,,RNA binding IEA,GO:0003723,,,MI domain-containing protein {ECO:0000259|PROSITE:PS51366}
Q3UA17,Q3UA17_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022692, ECO:0000256|PROSITE-, ProRule:PRU00282, ECO:0000256|RuleBase:RU000488}, Membrane {ECO:0000256|ARBA:ARBA00022692, ECO:0000256|PROSITE-, Transport {ECO:0000256|RuleBase:RU000488}",integral component of membrane IEA,GO:0016021,,,,,
Q3UB60,Q3UB60_MOUSE,Mus musculus (Mouse),"Transport {ECO:0000256|ARBA:ARBA00022927}, TPR repeat {ECO:0000256|PROSITE-ProRule:PRU00339}, Protein transport {ECO:0000256|ARBA:ARBA00022927}",,,peptidyl-prolyl cis-trans isomerase activity IEA,GO:0003755,"protein transport IEA, protein folding IEA","GO:0015031, GO:0006457",
Q3UBA0,Q3UBA0_MOUSE,Mus musculus (Mouse),"Isomerase {ECO:0000256|PROSITE-ProRule:PRU00277}, Rotamase {ECO:0000256|PROSITE-ProRule:PRU00277}",,,peptidyl-prolyl cis-trans isomerase activity IEA,GO:0003755,,,Peptidylprolyl isomerase {ECO:0000256|PROSITE-ProRule:PRU00277}
Q3UBA7,Q3UBA7_MOUSE,Mus musculus (Mouse),"cAMP-binding {ECO:0000256|ARBA:ARBA00022566, ECO:0000256|PIRSR:PIRSR000548-, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022566,, ECO:0000256|PIRSR:PIRSR000548-1}, 1}, cAMP {ECO:0000256|ARBA:ARBA00022566, ECO:0000256|PIRSR:PIRSR000548-1}",cAMP-dependent protein kinase complex IEA,GO:0005952,"cAMP-dependent protein kinase regulator activity IEA, cAMP binding IEA","GO:0030552, GO:0008603",,,
Q3UBF0,Q3UBF0_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Proteasome {ECO:0000256|ARBA:ARBA00022942}","nucleus IEA, cytoplasm IEA, proteasome complex IEA","GO:0005737, GO:0005634, GO:0000502","proteasome-activating ATPase activity IEA, ATP binding IEA","GO:0005524, GO:0036402",protein catabolic process IEA,GO:0030163,26S proteasome AAA-ATPase subunit RPT3 {ECO:0000256|ARBA:ARBA00013396}
Q3UBL3,Q3UBL3_MOUSE,Mus musculus (Mouse),"ProRule:PRU00192}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Coiled coil {ECO:0000256|ARBA:ARBA00023054}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}",,,protein tyrosine kinase activator activity IEA,GO:0030296,actin polymerization or depolymerization IEA,GO:0008154,SH3 domain-containing protein {ECO:0000259|PROSITE:PS50002}
Q3UBN8,Q3UBN8_MOUSE,Mus musculus (Mouse),"Lithium {ECO:0000256|ARBA:ARBA00022671}, Magnesium {ECO:0000256|ARBA:ARBA00022842}, Metal-binding {ECO:0000256|ARBA:ARBA00022723}",,,metal ion binding IEA,GO:0046872,"inositol phosphate dephosphorylation IEA, phosphatidylinositol phosphorylation IEA","GO:0046854, GO:0046855",
Q3UBT6,Q3UBT6_MOUSE,Mus musculus (Mouse),"ECO:0000256|RuleBase:RU000304}, Transferase {ECO:0000256|RuleBase:RU000304}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, Kinase {ECO:0000256|RuleBase:RU000304}, Serine/threonine-protein kinase {ECO:0000256|RuleBase:RU000304}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU000304}",,,"protein serine/threonine kinase activity IEA, ATP binding IEA","GO:0004674, GO:0005524",,,Protein kinase domain-containing protein {ECO:0000259|PROSITE:PS50011}
Q3UBW3,Q3UBW3_MOUSE,Mus musculus (Mouse),"Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00022787}, Membrane {ECO:0000256|ARBA:ARBA00022787, ECO:0000256|ARBA:ARBA00022989,, Protein transport {ECO:0000256|ARBA:ARBA00023010}, Translocation {ECO:0000256|ARBA:ARBA00023010},  Mitochondrion {ECO:0000256|ARBA:ARBA00022787}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|SAM:Phobius},  Transport {ECO:0000256|ARBA:ARBA00023010}","mitochondrial outer membrane IEA, integral component of membrane IEA","GO:0016021, GO:0005741",,,intracellular protein transport IEA,GO:0006886,Mitochondrial import receptor subunit TOM22 homolog {ECO:0000256|ARBA:ARBA00016229}
Q3UCF7,Q3UCF7_MOUSE,Mus musculus (Mouse),,,,,,signaling IEA,GO:0023052,
Q3UDA7,Q3UDA7_MOUSE,Mus musculus (Mouse),"Nucleus {ECO:0000256|ARBA:ARBA00023242}, Chaperone {ECO:0000256|ARBA:ARBA00023186}",nucleus IEA,GO:0005634,,,,,Nucleoplasmin domain-containing protein {ECO:0000259|Pfam:PF03066}
Q3UDB1,Q3UDB1_MOUSE,Mus musculus (Mouse),"ECO:0000256|RuleBase:RU004187}, Cytoplasm {ECO:0000256|RuleBase:RU365042}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU004187}, Chaperone {ECO:0000256|ARBA:ARBA00023186, ECO:0000256|RuleBase:RU004187}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,",cytoplasm IEA,GO:0005737,"unfolded protein binding IEA, ATP binding IEA","GO:0051082, GO:0005524",protein folding IEA,GO:0006457,T-complex protein 1 subunit eta {ECO:0000256|RuleBase:RU365042}
Q3UDD3,Q3UDD3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:Q3UDD3, ECO:0000213|PeptideAtlas:Q3UDD3}, Proteomics identification {ECO:0000213|EPD:Q3UDD3,, RNA-binding {ECO:0000256|PROSITE-ProRule:PRU00176}",,,RNA binding IEA,GO:0003723,,,
Q3UDN8,Q3UDN8_MOUSE,Mus musculus (Mouse),"Zinc-finger {ECO:0000256|PROSITE-ProRule:PRU00024}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Metal-binding {ECO:0000256|PROSITE-ProRule:PRU00024}, Zinc {ECO:0000256|PROSITE-ProRule:PRU00024}",nucleus IEA,GO:0005634,"transcription corepressor activity IEA, zinc ion binding IEA","GO:0008270, GO:0003714",,,
Q3UDQ7,Q3UDQ7_MOUSE,Mus musculus (Mouse),"Hydrolase {ECO:0000256|ARBA:ARBA00023049}, Mitochondrion {ECO:0000256|ARBA:ARBA00022792}, Mitochondrion inner membrane {ECO:0000256|ARBA:ARBA00022792}, Transmembrane {ECO:0000256|SAM:Phobius}, Protease {ECO:0000256|ARBA:ARBA00023049}, Membrane {ECO:0000256|ARBA:ARBA00022792, ECO:0000256|SAM:Phobius}, Metalloprotease {ECO:0000256|ARBA:ARBA00023049}, Transmembrane helix {ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,"ATP-dependent peptidase activity IEA, metalloendopeptidase activity IEA, zinc ion binding IEA, ATP binding IEA","GO:0004176, GO:0004222, GO:0008270, GO:0005524",,,AAA domain-containing protein {ECO:0000259|SMART:SM00382}
Q3UDR2,FT,Mus musculus (Mouse),"Disulfide bond {ECO:0000256|PIRSR:PIRSR605792-51}, Signal {ECO:0000256|ARBA:ARBA00022729, ECO:0000256|RuleBase:RU361130}, Endoplasmic reticulum {ECO:0000256|ARBA:ARBA00022824}, ECO:0000256|PIRSR:PIRSR605792-51},  Repeat {ECO:0000256|ARBA:ARBA00022737}, Isomerase {ECO:0000256|ARBA:ARBA00023235, ECO:0000256|RuleBase:RU361130}, Redox-active center {ECO:0000256|ARBA:ARBA00023284,","endoplasmic reticulum lumen IEA, melanosome IEA","GO:0005788, GO:0042470",protein disulfide isomerase activity IEA,GO:0003756,,,"Protein disulfide-isomerase {ECO:0000256|ARBA:ARBA00012723, ECO:0000256|RuleBase:RU361130}"
Q3UDY9,Q3UDY9_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Protein transport {ECO:0000256|ARBA:ARBA00022927}, Golgi apparatus {ECO:0000256|ARBA:ARBA00023034}, Acetylation {ECO:0000256|ARBA:ARBA00022990}, Lipid-binding {ECO:0000256|ARBA:ARBA00023121}, Cell projection {ECO:0000256|ARBA:ARBA00023273}, Transport {ECO:0000256|ARBA:ARBA00022927}","lamellipodium IEA, retromer complex IEA, cytosol IEA, early endosome membrane IEA, Golgi apparatus IEA","GO:0005794, GO:0030027, GO:0031901, GO:0005829, GO:0030904",phosphatidylinositol binding IEA,GO:0035091,"retrograde transport, endosome to Golgi IEA, intracellular protein transport IEA","GO:0006886, GO:0042147",Sorting nexin-1 {ECO:0000256|ARBA:ARBA00020434}
Q3UE86,Q3UE86_MOUSE,Mus musculus (Mouse),"Signal {ECO:0000256|SAM:SignalP}, Glycosidase {ECO:0000256|ARBA:ARBA00023295, ECO:0000256|RuleBase:RU361185}, Hydrolase {ECO:0000256|ARBA:ARBA00023295, ECO:0000256|RuleBase:RU361185}",,,"carbohydrate binding IEA, hydrolase activity, hydrolyzing O-glycosyl compounds IEA","GO:0004553, GO:0030246",carbohydrate metabolic process IEA,GO:0005975,Gal_mutarotas_2 domain-containing protein {ECO:0000259|Pfam:PF13802}
Q3UE99,Q3UE99_MOUSE,Mus musculus (Mouse),"Hydrolase {ECO:0000256|ARBA:ARBA00022670}, Protease {ECO:0000256|ARBA:ARBA00022670},  Signal {ECO:0000256|SAM:SignalP}",,,peptidase activity IEA,GO:0008233,,,
Q3UEK3,Q3UEK3_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, RNA-binding {ECO:0000256|ARBA:ARBA00022884}, Protein biosynthesis {ECO:0000256|ARBA:ARBA00022540}, Initiation factor {ECO:0000256|ARBA:ARBA00022540}",eukaryotic translation initiation factor 3 complex IEA,GO:0005852,,,,,PCI domain-containing protein {ECO:0000259|PROSITE:PS50250}
Q3UEN0,Q3UEN0_MOUSE,Mus musculus (Mouse),"Signal {ECO:0000256|SAM:SignalP}, Developmental protein {ECO:0000256|PROSITE-ProRule:PRU00230}",,,,,multicellular organism development IEA,GO:0007275,Chordin {ECO:0000256|ARBA:ARBA00016968}
Q3UEQ1,Q3UEQ1_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:Q3UEQ1, ECO:0000213|PeptideAtlas:Q3UEQ1}, Proteomics identification {ECO:0000213|EPD:Q3UEQ1,",,,"phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity IEA, phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity IEA","GO:0016316, GO:0034597",,,"Phosphatidylinositol-3,4-bisphosphate 4-phosphatase {ECO:0000256|ARBA:ARBA00013037}"
Q3UF58,Q3UF58_MOUSE,Mus musculus (Mouse),"NADP {ECO:0000256|ARBA:ARBA00022857}, Hydrogen peroxide {ECO:0000256|ARBA:ARBA00023324,, Iron {ECO:0000256|ARBA:ARBA00022617, ECO:0000256|PIRSR:PIRSR038928-2,, ECO:0000256|RuleBase:RU000498}, ECO:0000256|PIRSR:PIRSR038928-2, ECO:0000256|RuleBase:RU000498}, Mitogen {ECO:0000256|ARBA:ARBA00023246}, Heme {ECO:0000256|ARBA:ARBA00022617, ECO:0000256|PIRSR:PIRSR038928-2,, Metal-binding {ECO:0000256|ARBA:ARBA00022617,, Oxidoreductase {ECO:0000256|ARBA:ARBA00023324,, Peroxidase {ECO:0000256|ARBA:ARBA00023324, ECO:0000256|RuleBase:RU000498}",peroxisome IEA,GO:0005777,"metal ion binding IEA, catalase activity IEA, heme binding IEA","GO:0046872, GO:0004096, GO:0020037","positive regulation of cell division IEA, hydrogen peroxide catabolic process IEA, response to oxidative stress IEA","GO:0042744, GO:0006979, GO:0051781","Catalase {ECO:0000256|ARBA:ARBA00014132, ECO:0000256|RuleBase:RU000498}"
Q3UF95,Q3UF95_MOUSE,Mus musculus (Mouse),"Spermatogenesis {ECO:0000256|ARBA:ARBA00022871}, Apoptosis {ECO:0000256|ARBA:ARBA00022703}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Acetylation {ECO:0000256|ARBA:ARBA00022990}, Immunity {ECO:0000256|ARBA:ARBA00022859}, Chromatin regulator {ECO:0000256|ARBA:ARBA00022853}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Secreted {ECO:0000256|ARBA:ARBA00022525}, Proteomics identification {ECO:0000213|EPD:Q3UF95,, ECO:0000213|MaxQB:Q3UF95, ECO:0000213|PeptideAtlas:Q3UF95}, Differentiation {ECO:0000256|ARBA:ARBA00022871}","nucleus IEA, extracellular region IEA, cytosol IEA","GO:0005634, GO:0005576, GO:0005829",,,"apoptotic process IEA, immune system process IEA, cell differentiation IEA, spermatogenesis IEA, chromatin organization IEA","GO:0030154, GO:0002376, GO:0006325, GO:0007283, GO:0006915",BCL2-associated athanogene 6 {ECO:0000256|ARBA:ARBA00013789}
Q3UFQ5,Q3UFQ5_MOUSE,Mus musculus (Mouse),,,,,,,,
Q3UG14,Q3UG14_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Transducer {ECO:0000256|ARBA:ARBA00023224}, WD repeat {ECO:0000256|ARBA:ARBA00022574, ECO:0000256|PROSITE-, Repeat {ECO:0000256|ARBA:ARBA00022737}, ProRule:PRU00221}",,,,,signal transduction IEA,GO:0007165,WD_REPEATS_REGION domain-containing protein {ECO:0000259|PROSITE:PS50294}
Q3UG51,Q3UG51_MOUSE,Mus musculus (Mouse),,SCF ubiquitin ligase complex IBA,GO:0019005,,,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process IBA, ubiquitin-dependent protein catabolic process IBA","GO:0031146, GO:0006511",
Q3UGB2,Q3UGB2_MOUSE,Mus musculus (Mouse),"Transcription {ECO:0000256|ARBA:ARBA00023015}, Zinc-finger {ECO:0000256|ARBA:ARBA00022771}, ECO:0000213|MaxQB:Q3UGB2, ECO:0000213|PeptideAtlas:Q3UGB2}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Zinc {ECO:0000256|ARBA:ARBA00022771}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Proteomics identification {ECO:0000213|EPD:Q3UGB2,, Metal-binding {ECO:0000256|ARBA:ARBA00022771}, Transcription regulation {ECO:0000256|ARBA:ARBA00023015}",nucleus IEA,GO:0005634,"metal ion binding IEA, transcription corepressor activity IEA","GO:0046872, GO:0003714","transcription, DNA-templated IEA, negative regulation of transcription, DNA-templated IEA","GO:0045892, GO:0006351",
Q3UGB3,Q3UGB3_MOUSE,Mus musculus (Mouse),"Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Prenylation {ECO:0000256|ARBA:ARBA00023289}, Methylation {ECO:0000256|ARBA:ARBA00022481}, Transducer {ECO:0000256|ARBA:ARBA00023224}, Lipoprotein {ECO:0000256|ARBA:ARBA00023289}, Membrane {ECO:0000256|ARBA:ARBA00022475}",heterotrimeric G-protein complex IEA,GO:0005834,G-protein beta-subunit binding IEA,GO:0031681,G protein-coupled receptor signaling pathway IEA,GO:0007186,G protein gamma domain-containing protein {ECO:0000259|PROSITE:PS50058}
Q3UGI7,Q3UGI7_MOUSE,Mus musculus (Mouse),"Zinc-finger {ECO:0000256|ARBA:ARBA00022771}, RNA-binding {ECO:0000256|ARBA:ARBA00022884}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Zinc {ECO:0000256|ARBA:ARBA00022771}, Metal-binding {ECO:0000256|ARBA:ARBA00022771}",nucleus IEA,GO:0005634,RNA binding IEA,GO:0003723,"regulation of transcription, DNA-templated IEA",GO:0006355,
Q3UGK7,Q3UGK7_MOUSE,Mus musculus (Mouse),Nucleus {ECO:0000256|ARBA:ARBA00023242},nucleus IEA,GO:0005634,actin binding IEA,GO:0003779,"positive regulation of Arp2/3 complex-mediated actin nucleation IEA, actin filament organization IEA","GO:2000601, GO:0007015",
Q3UGL3,Q3UGL3_MOUSE,Mus musculus (Mouse),Coiled coil {ECO:0000256|SAM:Coils},"membrane IEA, Golgi apparatus IEA","GO:0005794, GO:0016020",,,vesicle-mediated transport IEA,GO:0016192,ENTH domain-containing protein {ECO:0000259|PROSITE:PS50942}
Q3UGN9,Q3UGN9_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Protein transport {ECO:0000256|ARBA:ARBA00022927}, Endosome {ECO:0000256|ARBA:ARBA00022753}, ProRule:PRU00192}, ECO:0000213|MaxQB:Q3UGN9, ECO:0000213|PeptideAtlas:Q3UGN9}, Reference proteome {ECO:0000313|Proteomes:UP000000589},  Transport {ECO:0000256|ARBA:ARBA00022927}, Proteomics identification {ECO:0000213|EPD:Q3UGN9,",early endosome membrane IEA,GO:0031901,,,intracellular protein transport IEA,GO:0006886,
Q3UGZ2,Q3UGZ2_MOUSE,Mus musculus (Mouse),"Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Immunoglobulin domain {ECO:0000256|ARBA:ARBA00023319}, Membrane {ECO:0000256|ARBA:ARBA00022475}, Repeat {ECO:0000256|ARBA:ARBA00022737}",plasma membrane IEA,GO:0005886,,,"cell adhesion IEA, axon guidance IEA","GO:0007411, GO:0007155",
