,Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name,Biological Process Label,Molecular Function Label,Cellular Component Label
530,P17897,FT,Mus musculus (Mouse),"Disulfide bond,  Reference proteome, Signal,  Secreted,  Direct protein sequencing,  Bacteriolytic enzyme,  Hydrolase,  Glycosidase, Antimicrobial","cytoplasm ISO, secretory granule ISO, endoplasmic reticulum lumen ISO, rough endoplasmic reticulum lumen ISO, Golgi cis cisterna ISO, trans-Golgi network transport vesicle ISO, extracellular space ISO, Golgi stack ISO, microvillus ISO","GO:0005615, GO:0005902, GO:0048237, GO:0000137, GO:0005788, GO:0030140, GO:0005737, GO:0030141, GO:0005795","hydrolase activity, acting on glycosyl bonds ISO, identical protein binding ISO, lysozyme activity ISO","GO:0042802, GO:0016798, GO:0003796","defense response to Gram-negative bacterium IDA, cytolysis IEA, metabolic process IEA, defense response to Gram-positive bacterium IDA","GO:0019835, GO:0008152, GO:0050829, GO:0050830",Lysozyme C-1,"GO:0050896, GO:0009987, GO:0044419","GO:0005488, GO:0003824","GO:0042995, GO:0031974, GO:0031984, GO:0043227"
531,P33609,DPOLA_MOUSE,Mus musculus (Mouse),"4Fe-4S,  Nucleus,  Acetylation,  Metal-binding,  Reference proteome,  Zinc-finger,  DNA replication,  Direct protein sequencing,  Iron,  DNA-directed DNA polymerase,  Phosphoprotein,  Zinc, Nucleotidyltransferase, Transferase, DNA-binding,  Cytoplasm,  Iron-sulfur","nucleoplasm ISS, nucleus IDA, nuclear envelope ISS, cytosol ISS, nucleolus ISS, nuclear matrix ISS, alpha DNA polymerase","GO:0005634, GO:0005654, GO:0005658, GO:0005829, GO:0005635, GO:0005730, GO:0016363","single-stranded DNA binding IBA, double-stranded DNA binding ISO, nucleotide binding ISS, pyrimidine nucleotide binding ISO, metal ion binding IEA, DNA binding ISS, purine nucleotide binding ISO, DNA replication origin binding IBA, 4 iron, 4 sulfur cluster binding IEA, protein kinase binding ISO, DNA-directed DNA polymerase activity IDA, chromatin binding ISS","GO:0003697, GO:0003677, GO:0003690, GO:0019901, GO:0046872, GO:0000166, GO:0003682, GO:0051539, GO:0003887, GO:0003688, GO:0019103, GO:0017076","DNA replication initiation ISS, lagging strand elongation ISS, double-strand break repair via nonhomologous end joining ISS, regulation of type I interferon production ISS, mitotic DNA replication initiation IBA, DNA synthesis involved in DNA repair ISO, DNA biosynthetic process ISO, DNA replication IDA, DNA replication, synthesis of RNA primer ISS, leading strand elongation ISS, DNA strand elongation involved in DNA replication ISS","GO:0006260, GO:0006271, GO:0032479, GO:0006270, GO:0006273, GO:0071897, GO:0006269, GO:1902975, GO:0006272, GO:0000731, GO:0006303",DNA polymerase alpha catalytic subunit,"GO:0008152, GO:0050896, GO:0065007, GO:0009987","GO:0005488, GO:0003824","GO:0043229, GO:0031975, GO:0140513, GO:0043228, GO:0140535, GO:0043227, GO:1902494"
532,P41163,ETV2_MOUSE,Mus musculus (Mouse)," Nucleus,  Reference proteome, DNA-binding",nucleus IBA,GO:0005634,"DNA-binding transcription factor activity, RNA polymerase II-specific IBA, RNA polymerase II cis-regulatory region sequence-specific DNA binding IDA, DNA-binding transcription activator activity, RNA polymerase II-specific IDA, sequence-specific double-stranded DNA binding ISO","GO:1990837, GO:0000981, GO:0001228, GO:0000978","hemopoiesis IDA, mesoderm formation IDA, erythrocyte differentiation IMP, positive regulation of mesoderm development IDA, blood vessel morphogenesis IMP, positive regulation of transcription by RNA polymerase II IDA, Notch signaling pathway IDA, regulation of transcription by RNA polymerase II IBA, positive regulation of gene expression IDA, Wnt signaling pathway IDA, positive regulation of endothelial cell differentiation IDA, blastocyst development IMP, placenta development IMP, in utero embryonic development IMP, cell differentiation IBA, BMP signaling pathway involved in mesodermal cell fate specification IDA","GO:0001707, GO:0030154, GO:0060803, GO:0001701, GO:0048514, GO:0006357, GO:0045603, GO:0016055, GO:0007219, GO:0030218, GO:2000382, GO:0045944, GO:0001890, GO:0010628, GO:0030097, GO:0001824",ETS translocation variant 2,"GO:0032501, GO:0022414, GO:0032502, GO:0065007, GO:0009987","GO:0005488, GO:0140110","GO:0043229, GO:0043227"
533,P59326,YTHD1_MOUSE,Mus musculus (Mouse),"Acetylation,  Reference proteome,  Phosphoprotein,  Immunity, RNA-binding,  Cytoplasm",cytoplasm IBA,GO:0005737,"ribosome binding ISS, mRNA binding IBA, N6-methyladenosine-containing RNA binding IDA","GO:0043022, GO:1990247, GO:0003729","learning IMP, memory IMP, regulation of axon guidance IMP, regulation of long-term synaptic potentiation IMP, mRNA destabilization IBA, immune system process IEA, positive regulation of translational initiation ISS, positive regulation of translation IDA, regulation of antigen processing and presentation IMP","GO:0007613, GO:0002376, GO:1902667, GO:0007612, GO:0045948, GO:0002577, GO:0045727, GO:1900271, GO:0061157",YTH domain-containing family protein 1 {ECO:0000305},"GO:0032501, GO:0065007, GO:0007610",GO:0005488,
534,P59384,FT,Mus musculus (Mouse)," Metal-binding,  Signal,  Metalloprotease, Reference proteome,  Disulfide bond,  Secreted,  Extracellular matrix,  Hydrolase, Cleavage on pair of basic residues,  Zinc, Glycoprotein,  Zymogen,  Repeat,  Protease","extracellular space IDA, cell surface IDA, extracellular matrix IBA, collagen-containing extracellular matrix IEA","GO:0009986, GO:0005615, GO:0062023, GO:0031012","endopeptidase activity IDA, metalloendopeptidase activity IBA, extracellular matrix binding IDA, heparin binding IDA, zinc ion binding IEA","GO:0004175, GO:0008201, GO:0050840, GO:0008270, GO:0004222",extracellular matrix organization IBA,GO:0030198,A disintegrin and metalloproteinase with thrombospondin motifs 15,GO:0009987,"GO:0005488, GO:0003824",GO:0030312
535,P60867,RS20_MOUSE,Mus musculus (Mouse)," Ribosomal protein, Acetylation,  Ubl conjugation, Reference proteome,  Ribonucleoprotein,  Phosphoprotein,  Isopeptide bond,  Cytoplasm","cytosolic small ribosomal subunit ISO, synapse IDA, small ribosomal subunit IBA","GO:0045202, GO:0015935, GO:0022627","structural constituent of ribosome IBA, RNA binding IEA","GO:0003735, GO:0003723",translation IEA,GO:0006412,40S ribosomal protein S20,"GO:0008152, GO:0009987","GO:0005488, GO:0005198","GO:1990904, GO:0030054"
536,P62852,RS25_MOUSE,Mus musculus (Mouse)," Ribosomal protein,  Ribonucleoprotein, Acetylation,  Reference proteome","synapse IDA, cytosolic small ribosomal subunit ISO, nucleus ISO, nucleolus ISO, postsynaptic density ISO, polysome ISO, ribosome ISO","GO:0005634, GO:0045202, GO:0005840, GO:0014069, GO:0005730, GO:0022627, GO:0005844",structural constituent of ribosome ISO,GO:0003735,ribosomal small subunit assembly ISO,GO:0000028,40S ribosomal protein S25,GO:0009987,GO:0005198,"GO:0043229, GO:0099572, GO:0043228, GO:1990904, GO:0043227, GO:0030054"
537,P62862,RS30_MOUSE,Mus musculus (Mouse),"Reference proteome,  Ribonucleoprotein,  Ribosomal protein","cytosolic small ribosomal subunit ISO, extracellular space ISO","GO:0005615, GO:0022627",structural constituent of ribosome IEA,GO:0003735,"antibacterial humoral response ISO, translation IEA, defense response to Gram-positive bacterium IDA, innate immune response in mucosa ISO, antimicrobial humoral immune response mediated by antimicrobial peptide IDA","GO:0006412, GO:0050830, GO:0002227, GO:0019731, GO:0061844",40S ribosomal protein S30,"GO:0050896, GO:0008152, GO:0002376, GO:0009987, GO:0044419",GO:0005198,GO:1990904
538,P70181,PI51B_MOUSE,Mus musculus (Mouse)," Reference proteome, Membrane,  Cell membrane,  Phosphoprotein,  Nucleotide-binding, Alternative splicing,  ATP-binding, Transferase,  Kinase,  Cytoplasm","cytosol IDA, membrane IEA, uropod ISO, endomembrane system IEA","GO:0005829, GO:0001931, GO:0012505, GO:0016020","ATP binding IEA, 1-phosphatidylinositol-4-phosphate 5-kinase activity IDA","GO:0005524, GO:0016308","phosphatidylinositol biosynthetic process IGI, phosphatidylinositol metabolic process IDA","GO:0006661, GO:0046488",Phosphatidylinositol 4-phosphate 5-kinase type-1 beta {ECO:0000305|PubMed:18772378},"GO:0008152, GO:0009987","GO:0005488, GO:0003824",GO:0042995
539,P86046,KCJ13_MOUSE,Mus musculus (Mouse)," Membrane,  Potassium,  Reference proteome, Ion channel,  Transmembrane,  Voltage-gated channel, Potassium transport,  Phosphoprotein,  Ion transport,  Transport, Transmembrane helix","integral component of membrane IEA, plasma membrane IBA","GO:0005886, GO:0016021",inward rectifier potassium channel activity IBA,GO:0005242,"potassium ion import across plasma membrane IBA, regulation of ion transmembrane transport IBA","GO:1990573, GO:0034765",Inward rectifier potassium channel 13 {ECO:0000250|UniProtKB:O60928},"GO:0051179, GO:0065007, GO:0009987",GO:0005215,
540,Q02242,FT,Mus musculus (Mouse)," Immunoglobulin domain,  Adaptive immunity,  Membrane,  Reference proteome,  Signal,  Transmembrane,  Ubl conjugation,  Cell membrane,  Disulfide bond,  Isopeptide bond,  Immunity, Glycoprotein, 3D-structure, Phosphoprotein, Transmembrane helix,  Apoptosis","plasma membrane ISO, integral component of membrane IEA, external side of plasma membrane IDA","GO:0005886, GO:0016021, GO:0009897",,,"positive regulation of apoptotic process IMP, negative regulation of tolerance induction IMP, apoptotic process IEA, negative regulation of apoptotic process IMP, regulation of immune response IBA, adaptive immune response IEA, positive regulation of T cell apoptotic process ISO, negative regulation of immune response IMP","GO:0043065, GO:0002250, GO:0006915, GO:0043066, GO:0050777, GO:0070234, GO:0050776, GO:0002644",Programmed cell death protein 1 {ECO:0000303|PubMed:1396582},"GO:0050896, GO:0002376, GO:0065007, GO:0009987",,GO:0098552
541,Q04859,MAK_MOUSE,Mus musculus (Mouse)," Cell projection,  Metal-binding,  Reference proteome, Serine/threonine-protein kinase,  Magnesium,  Transcription regulation,  Cilium,  Phosphoprotein, Cytoskeleton,  Transcription,  Nucleotide-binding, Alternative splicing,  ATP-binding, Transferase, Nucleus,  Kinase,  Cytoplasm","ciliary tip IDA, nucleus IDA, cytoplasm IBA, motile cilium IDA, photoreceptor inner segment ISS, centrosome ISS, photoreceptor connecting cilium IDA, cilium IBA, axoneme IDA, mitotic spindle ISS, photoreceptor outer segment IDA, midbody ISS","GO:0097542, GO:0005930, GO:0005634, GO:0072686, GO:0001917, GO:0030496, GO:0031514, GO:0001750, GO:0005929, GO:0005737, GO:0032391, GO:0005813","protein kinase activity IDA, metal ion binding IEA, transcription coactivator activity ISS, MAP kinase activity IBA, ATP binding IEA","GO:0004672, GO:0046872, GO:0003713, GO:0004707, GO:0005524","protein autophosphorylation ISS, regulation of gene expression IBA, intraciliary transport IBA, photoreceptor cell maintenance IMP, cilium assembly IBA, intracellular signal transduction IBA, negative regulation of non-motile cilium assembly IDA, protein phosphorylation ISS","GO:0006468, GO:0060271, GO:0046777, GO:0042073, GO:1902856, GO:0045494, GO:0035556, GO:0010468",Serine/threonine-protein kinase MAK,"GO:0032501, GO:0051179, GO:0065007, GO:0008152, GO:0009987","GO:0005488, GO:0003824, GO:0140110, GO:0098772","GO:0043229, GO:0042995, GO:0005929, GO:0043228, GO:0043227, GO:0005815, GO:0035869"
542,Q05CD2,Q05CD2_MOUSE,Mus musculus (Mouse),,,,,,,,,,,
543,Q05CS7,Q05CS7_MOUSE,Mus musculus (Mouse),"Zinc-finger {ECO:0000256|PROSITE-ProRule:PRU00042}, Metal-binding {ECO:0000256|PROSITE-ProRule:PRU00042}, Coiled coil {ECO:0000256|SAM:Coils}, Zinc {ECO:0000256|PROSITE-ProRule:PRU00042}",,,,,,,,,,
544,Q05DD2,Q05DD2_MOUSE,Mus musculus (Mouse),"Cell projection {ECO:0000256|ARBA:ARBA00023273}, Intermediate filament {ECO:0000256|ARBA:ARBA00022754,, Coiled coil {ECO:0000256|ARBA:ARBA00023054, ECO:0000256|SAM:Coils}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, ECO:0000256|RuleBase:RU000685}","cell projection IEA, neurofilament IEA","GO:0005883, GO:0042995",,,axon development IEA,GO:0061564,Neurofilament light polypeptide {ECO:0000256|ARBA:ARBA00019275},GO:0009987,,GO:0099080
545,Q05DM9,Q05DM9_MOUSE,Mus musculus (Mouse),"Hydrolase {ECO:0000256|ARBA:ARBA00022807}, Ubl conjugation pathway {ECO:0000256|ARBA:ARBA00022786}, Thiol protease {ECO:0000256|ARBA:ARBA00022807}, Protease {ECO:0000256|ARBA:ARBA00022807}",,,"thiol-dependent ubiquitin-specific protease activity IEA, cysteine-type peptidase activity IEA","GO:0004843, GO:0008234",protein ubiquitination IEA,GO:0016567,Ubiquitinyl hydrolase 1 {ECO:0000256|ARBA:ARBA00012759},"GO:0008152, GO:0009987",GO:0003824,
546,Q0P6B2,Q0P6B2_MOUSE,Mus musculus (Mouse),,nucleus IEA,GO:0005634,RNA binding IEA,GO:0003723,"regulation of transcription, DNA-templated IEA",GO:0006355,,GO:0065007,GO:0005488,"GO:0043229, GO:0043227"
547,Q0QEZ4,Q0QEZ4_MOUSE,Mus musculus (Mouse),"Metal-binding {ECO:0000256|ARBA:ARBA00022485,, ECO:0000256|ARBA:ARBA00022714, ECO:0000256|ARBA:ARBA00023291,, Iron-sulfur {ECO:0000256|ARBA:ARBA00022485, ECO:0000256|ARBA:ARBA00022714,, ECO:0000256|RuleBase:RU361237}, Iron {ECO:0000256|ARBA:ARBA00022485, ECO:0000256|ARBA:ARBA00022714,, 4Fe-4S {ECO:0000256|ARBA:ARBA00022485, ECO:0000256|RuleBase:RU361237}, 2Fe-2S {ECO:0000256|ARBA:ARBA00022714, ECO:0000256|RuleBase:RU361237}, Mitochondrion inner membrane {ECO:0000256|RuleBase:RU361237}, 3Fe-4S {ECO:0000256|ARBA:ARBA00023291, ECO:0000256|RuleBase:RU361237}, Tricarboxylic acid cycle {ECO:0000256|ARBA:ARBA00022532}, Mitochondrion {ECO:0000256|RuleBase:RU361237}, Membrane {ECO:0000256|RuleBase:RU361237}, ECO:0000256|ARBA:ARBA00023291, ECO:0000256|RuleBase:RU361237}",mitochondrial inner membrane IEA,GO:0005743,"2 iron, 2 sulfur cluster binding IEA, succinate dehydrogenase (ubiquinone) activity IEA, electron transfer activity IEA, metal ion binding IEA, 3 iron, 4 sulfur cluster binding IEA, 4 iron, 4 sulfur cluster binding IEA","GO:0051538, GO:0046872, GO:0051539, GO:0009055, GO:0008177, GO:0051537",tricarboxylic acid cycle IEA,GO:0006099,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial {ECO:0000256|RuleBase:RU361237}",GO:0008152,"GO:0005488, GO:0003824",GO:0031090
548,Q0VAW7,ZN112_MOUSE,Mus musculus (Mouse)," Nucleus,  Metal-binding, Reference proteome,  Transcription regulation, Zinc-finger,  Zinc,  DNA-binding,  Transcription, Alternative splicing,  Repeat",nucleus IBA,GO:0005634,"DNA-binding transcription activator activity, RNA polymerase II-specific IBA, RNA polymerase II cis-regulatory region sequence-specific DNA binding IBA, metal ion binding IEA","GO:0001228, GO:0046872, GO:0000978",regulation of transcription by RNA polymerase II IBA,GO:0006357,Zinc finger protein 112 {ECO:0000312|EMBL:AAI20887.1},GO:0065007,"GO:0005488, GO:0140110","GO:0043229, GO:0043227"
549,Q0VD75,Q0VD75_MOUSE,Mus musculus (Mouse),"Hydrolase {ECO:0000256|RuleBase:RU003947}, Glycoprotein {ECO:0000256|ARBA:ARBA00022622}, Zinc {ECO:0000256|ARBA:ARBA00022833, ECO:0000256|RuleBase:RU003947}, Lipoprotein {ECO:0000256|ARBA:ARBA00022622}, Membrane {ECO:0000256|ARBA:ARBA00022622}, Magnesium {ECO:0000256|ARBA:ARBA00022842, ECO:0000256|RuleBase:RU003947},  Signal {ECO:0000256|SAM:SignalP}, GPI-anchor {ECO:0000256|ARBA:ARBA00022622}","plasma membrane ISO, anchored component of membrane IEA, cell surface ISO, external side of plasma membrane ISO","GO:0031225, GO:0009986, GO:0005886, GO:0009897","magnesium ion binding ISO, alkaline phosphatase activity ISO, protein homodimerization activity ISO, zinc ion binding ISO","GO:0042803, GO:0004035, GO:0008270, GO:0000287","cellular response to BMP stimulus IDA, dephosphorylation ISO, phosphorus metabolic process ISO","GO:0071773, GO:0006793, GO:0016311","Alkaline phosphatase {ECO:0000256|ARBA:ARBA00012647, ECO:0000256|RuleBase:RU003947}","GO:0050896, GO:0009987, GO:0008152","GO:0005488, GO:0003824",GO:0098552
550,Q0VDM6,Q0VDM6_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|SAM:Phobius}, ECO:0000213|PeptideAtlas:Q0VDM6}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Signal-anchor {ECO:0000256|ARBA:ARBA00022968}, Membrane {ECO:0000256|ARBA:ARBA00022968, ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|ARBA:ARBA00022968, ECO:0000256|SAM:Phobius}, Proteomics identification {ECO:0000213|MaxQB:Q0VDM6,","integral component of membrane IEA, plasma membrane IEA","GO:0005886, GO:0016021",,,,,,,,
551,Q0VET5,LMTD2_MOUSE,Mus musculus (Mouse)," Reference proteome, Coiled coil",,,,,"positive regulation of mRNA splicing, via spliceosome IMP",GO:0048026,Lamin tail domain-containing protein 2,GO:0065007,,
552,Q0VGU4,VGF_MOUSE,Mus musculus (Mouse)," Antibiotic, Pyrrolidone carboxylic acid,  Reference proteome, Amidation,  Signal,  Antimicrobial,  Growth factor,  Secreted, Coiled coil,  Cytoplasmic vesicle,  Phosphoprotein,  Cleavage on pair of basic residues","synapse ISO, neuron projection ISO, neuronal cell body ISO, extracellular space ISO, transport vesicle IEA, extracellular region TAS, secretory granule membrane ISO, cytoplasmic vesicle ISO, intracellular membrane-bounded organelle ISO, Golgi apparatus ISO","GO:0005615, GO:0030667, GO:0045202, GO:0031410, GO:0005576, GO:0043231, GO:0005794, GO:0030133, GO:0043005, GO:0043025","hormone activity IBA, growth factor activity IEA, neuropeptide hormone activity IMP","GO:0008083, GO:0005179, GO:0005184","ovarian follicle development IMP, carbohydrate homeostasis IBA, regulation of synaptic plasticity IBA, generation of precursor metabolites and energy IMP, response to cAMP IEA, glucose homeostasis IMP, response to cold IDA, response to dietary excess IDA, penile erection ISO, defense response to bacterium IEA, response to insulin IMP, insulin secretion IGI, regulation of neuronal synaptic plasticity ISO, sexual reproduction IMP","GO:0051591, GO:0002021, GO:0048168, GO:0033500, GO:0009409, GO:0030073, GO:0042593, GO:0043084, GO:0048167, GO:0001541, GO:0032868, GO:0006091, GO:0019953, GO:0042742",Neurosecretory protein VGF,"GO:0050896, GO:0051704, GO:0032501, GO:0051179, GO:0022414, GO:0032502, GO:0065007, GO:0008152, GO:0000003, GO:0009987, GO:0044419","GO:0005488, GO:0098772","GO:0043229, GO:0042995, GO:0043227, GO:0044297, GO:0031090, GO:0030054"
553,Q148P2,Q148P2_MOUSE,Mus musculus (Mouse),"Lipid biosynthesis {ECO:0000256|ARBA:ARBA00023160,, Mitochondrion {ECO:0000256|PIRNR:PIRNR000447}, ECO:0000256|PIRNR:PIRNR000447}, Fatty acid biosynthesis {ECO:0000256|ARBA:ARBA00023160,, Lipid metabolism {ECO:0000256|ARBA:ARBA00023160,, Transferase {ECO:0000256|ARBA:ARBA00023315, ECO:0000256|PIRNR:PIRNR000447}, Fatty acid metabolism {ECO:0000256|ARBA:ARBA00023160,, Acetylation {ECO:0000256|ARBA:ARBA00022990}, Acyltransferase {ECO:0000256|ARBA:ARBA00023315,",mitochondrion IEA,GO:0005739,3-oxoacyl-[acyl-carrier-protein] synthase activity IEA,GO:0004315,fatty acid biosynthetic process IEA,GO:0006633,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial {ECO:0000256|PIRNR:PIRNR000447}","GO:0008152, GO:0009987",GO:0003824,"GO:0043229, GO:0043227"
554,Q149C3,FT,Mus musculus (Mouse),"Disulfide bond,  Immunoglobulin domain,  Reference proteome,  Signal,  Leucine-rich repeat,  Transmembrane, Membrane,  Glycoprotein, Transmembrane helix,  Repeat","extracellular space IBA, integral component of membrane IEA, extracellular matrix IBA","GO:0016021, GO:0005615, GO:0031012",,,positive regulation of synapse assembly IDA,GO:0051965,Leucine-rich repeat and immunoglobulin-like domain containing-NOGO receptor-interacting protein 4,GO:0065007,,GO:0030312
555,Q14BH8,Q14BH8_MOUSE,Mus musculus (Mouse),"Calcium transport {ECO:0000256|ARBA:ARBA00022673},  Membrane {ECO:0000256|ARBA:ARBA00022989}, Calcium {ECO:0000256|ARBA:ARBA00022673}, Calcium channel {ECO:0000256|ARBA:ARBA00022673}, Transport {ECO:0000256|ARBA:ARBA00022673, ECO:0000256|ARBA:ARBA00022882}, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Ion channel {ECO:0000256|ARBA:ARBA00022673, ECO:0000256|ARBA:ARBA00022882}, Ion transport {ECO:0000256|ARBA:ARBA00022673,, ECO:0000256|ARBA:ARBA00022882}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}, Voltage-gated channel {ECO:0000256|ARBA:ARBA00022882}",integral component of membrane IEA,GO:0016021,"calcium channel activity IEA, voltage-gated ion channel activity IEA","GO:0005262, GO:0005244",regulation of ion transmembrane transport IEA,GO:0034765,,GO:0065007,GO:0005215,
556,Q14DP0,Q14DP0_MOUSE,Mus musculus (Mouse),,,,single-stranded DNA binding IEA,GO:0003697,,,,,GO:0005488,
557,Q1JPR8,Q1JPR8_MOUSE,Mus musculus (Mouse),"Microtubule {ECO:0000256|ARBA:ARBA00022701}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}","microtubule IEA, cytoplasm IEA","GO:0005737, GO:0005874",tubulin binding IEA,GO:0015631,"microtubule bundle formation IEA, microtubule polymerization IEA","GO:0046785, GO:0001578",Tubulin polymerization-promoting protein family member 3 {ECO:0000256|ARBA:ARBA00014005},GO:0009987,GO:0005488,GO:0099080
558,Q1WIL9,Q1WIL9_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}, Signal {ECO:0000256|SAM:SignalP}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,,,,,,,,
559,Q2M4I8,Q2M4I8_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|SAM:Phobius},  Transmembrane {ECO:0000256|SAM:Phobius}, Membrane {ECO:0000256|SAM:Phobius}, Signal {ECO:0000256|SAM:SignalP},  Repeat {ECO:0000256|ARBA:ARBA00022737}",integral component of membrane IEA,GO:0016021,,,,,,,,
560,Q2M4I9,Q2M4I9_MOUSE,Mus musculus (Mouse),"ProRule:PRU00192}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, ECO:0000256|PIRNR:PIRNR000952, ECO:0000256|RuleBase:RU361133}, SH2 domain {ECO:0000256|ARBA:ARBA00022999, ECO:0000256|PROSITE-, Repeat {ECO:0000256|ARBA:ARBA00022737}, Transducer {ECO:0000256|ARBA:ARBA00023224, ECO:0000256|PIRNR:PIRNR000952}, Lipid metabolism {ECO:0000256|ARBA:ARBA00022963,, Lipid degradation {ECO:0000256|ARBA:ARBA00022963,, Calcium {ECO:0000256|ARBA:ARBA00022837, ECO:0000256|PROSITE-, ProRule:PRU00448}, ProRule:PRU00191}, Hydrolase {ECO:0000256|PIRNR:PIRNR000952, ECO:0000256|RuleBase:RU361133}",,,"calcium ion binding IEA, phosphatidylinositol phospholipase C activity IEA","GO:0005509, GO:0004435","phospholipid catabolic process IEA, intracellular signal transduction IEA","GO:0009395, GO:0035556","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma {ECO:0000256|PIRNR:PIRNR000952}","GO:0008152, GO:0065007, GO:0009987","GO:0005488, GO:0003824",
561,Q2M4J2,Q2M4J2_MOUSE,Mus musculus (Mouse),"Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Lipid degradation {ECO:0000256|RuleBase:RU361133}, Lipid metabolism {ECO:0000256|RuleBase:RU361133}, Coiled coil {ECO:0000256|SAM:Coils}, Hydrolase {ECO:0000256|ARBA:ARBA00022801, ECO:0000256|RuleBase:RU361133}, Transducer {ECO:0000256|ARBA:ARBA00023224}","cytoplasm IEA, nucleus IEA","GO:0005737, GO:0005634","calcium ion binding IEA, phosphatidylinositol phospholipase C activity ISS","GO:0005509, GO:0004435","lipid catabolic process IEA, regulation of cell cycle IEA, brain development IEA, intracellular signal transduction IEA","GO:0051726, GO:0007420, GO:0016042, GO:0035556","Phosphoinositide phospholipase C {ECO:0000256|ARBA:ARBA00012368, ECO:0000256|RuleBase:RU361133}","GO:0008152, GO:0009987, GO:0065007, GO:0032502","GO:0005488, GO:0003824","GO:0043229, GO:0043227"
562,Q2NL47,Q2NL47_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|RuleBase:RU000688}, Cell membrane {ECO:0000256|ARBA:ARBA00022475,, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Olfaction {ECO:0000256|ARBA:ARBA00022725, ECO:0000256|RuleBase:RU363047}, Sensory transduction {ECO:0000256|ARBA:ARBA00022725,, ECO:0000256|RuleBase:RU363047}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,","integral component of membrane ISA, plasma membrane IEA","GO:0005886, GO:0016021","olfactory receptor activity ISA, G protein-coupled receptor activity IEA","GO:0004930, GO:0004984","G protein-coupled receptor signaling pathway ISA, sensory perception of smell ISA","GO:0007186, GO:0007608",Olfactory receptor {ECO:0000256|RuleBase:RU363047},"GO:0032501, GO:0065007, GO:0009987",GO:0060089,
563,Q2NLE7,Q2NLE7_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|RuleBase:RU000688}, Cell membrane {ECO:0000256|ARBA:ARBA00022475,, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Olfaction {ECO:0000256|ARBA:ARBA00022725, ECO:0000256|RuleBase:RU363047}, Sensory transduction {ECO:0000256|ARBA:ARBA00022725,, ECO:0000256|RuleBase:RU363047}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,","integral component of membrane ISA, plasma membrane IEA","GO:0005886, GO:0016021","olfactory receptor activity ISA, G protein-coupled receptor activity IEA","GO:0004930, GO:0004984","G protein-coupled receptor signaling pathway ISA, sensory perception of smell ISA","GO:0007186, GO:0007608",Olfactory receptor {ECO:0000256|RuleBase:RU363047},"GO:0032501, GO:0065007, GO:0009987",GO:0060089,
564,Q3KN99,Q3KN99_MOUSE,Mus musculus (Mouse),"Cell junction {ECO:0000256|ARBA:ARBA00023018}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Synapse {ECO:0000256|ARBA:ARBA00023018}",synaptic vesicle IEA,GO:0008021,ATP binding IEA,GO:0005524,neurotransmitter secretion IEA,GO:0007269,,"GO:0051179, GO:0065007, GO:0009987",GO:0005488,GO:0043227
