Q99KX1,"Cytoplasm,  Nucleus,  Reference proteome,  Phosphoprotein"
Q8BHB9,"3D-structure,  Reference proteome,  Chloride,  Cytoplasm,  Ion transport,  Transmembrane,  Membrane,  Transmembrane helix,  Transport, Repeat,  Chloride channel,  Cell membrane,  Phosphoprotein, Voltage-gated channel, Ion channel"
Q8BHJ5,"3D-structure,  Reference proteome, Nucleus,  Repressor, Transcription regulation,  Repeat,  Chromatin regulator,  Transcription,  Acetylation,  Isopeptide bond,  Ubl conjugation,  Activator, WD repeat,  Ubl conjugation pathway"
Q8BHT6," Glycosyltransferase, Alternative splicing,  Membrane,  Transmembrane,  Endoplasmic reticulum, Fucose metabolism, Reference proteome,  Glycoprotein,  Transferase, Transmembrane helix,  Signal-anchor,  Carbohydrate metabolism"
Q8BIZ0," Repeat,  Transmembrane helix,  Transmembrane,  Membrane,  Cell adhesion, Calcium, Reference proteome,  Glycoprotein,  Cell membrane,  Signal"
Q8BJ34,"3D-structure,  Reference proteome,  Alternative splicing,  Repeat,  RNA-binding,  Oogenesis,  Phosphoprotein,  Meiosis,  Differentiation, Peroxisome"
Q8BK03," Reference proteome,  Transmembrane helix, Alternative splicing,  Membrane, Transmembrane,  Mitochondrion,  Phosphoprotein, Mitochondrion outer membrane"
Q8BKT3," Reference proteome,  mRNA processing,  Coiled coil, Alternative splicing,  Nucleus, Phosphoprotein,  mRNA splicing"
Q8BLC3," Reference proteome, Cell membrane,  Disulfide bond,  GPI-anchor, Membrane,  Glycoprotein,  Signal,  Lipoprotein"
Q8BLS7," Reference proteome,  Repeat,  Signal,  Phosphoprotein, ANK repeat"
Q8BLX7," Reference proteome,  Extracellular matrix,  Repeat,  Secreted, Glycoprotein, Alternative splicing,  Collagen,  Cell adhesion,  Hydroxylation,  Signal"
Q8BM13," Reference proteome,  Cytoplasm,  Coiled coil,  Secreted,  Disulfide bond, Membrane,  Nucleus,  Glycoprotein,  Signal, Cell junction,  Synapse"
Q8BM96," Reference proteome, Direct protein sequencing,  Transmembrane,  Receptor, Membrane,  Glycoprotein,  Signal, Transmembrane helix,  Transducer,  G-protein coupled receptor"
Q8BMW7," Reference proteome,  Magnesium,  Ion transport, Glycoprotein,  Membrane,  Transmembrane helix,  Transport, Transmembrane"
Q8BPC6," Reference proteome,  Magnesium, Nucleotide-binding,  Transit peptide, Tricarboxylic acid cycle,  Metal-binding,  Manganese, ATP-binding,  Mitochondrion"
Q8BPU7," Phagocytosis,  Reference proteome,  Cytoplasm,  Alternative splicing,  Apoptosis, Acetylation,  SH3-binding, Membrane,  Cell membrane,  Phosphoprotein"
Q8BQM7," Reference proteome,  Transmembrane,  Membrane, Coiled coil, Transmembrane helix"
Q8BRG8," Transmembrane helix, Alternative splicing,  Membrane,  Transmembrane, Reference proteome,  Glycoprotein,  Phosphoprotein"
Q8BRJ3," Reference proteome, Cell membrane,  Transmembrane,  Membrane,  Phosphoprotein, Transmembrane helix"
Q8BRK9," Hydrolase,  Coiled coil, Zinc,  Disulfide bond, Alternative splicing,  Membrane,  Golgi apparatus,  Metal-binding,  Transmembrane, Glycosidase, Reference proteome,  Glycoprotein,  Transmembrane helix,  Signal-anchor"
Q8BS95," Reference proteome,  Ion transport, Glycoprotein,  Membrane,  Golgi apparatus,  Transmembrane,  Transmembrane helix,  Voltage-gated channel, Protein transport, Transport,  Ion channel"
Q8BTY2," Reference proteome, Sodium,  Disulfide bond, Alternative splicing, Glycoprotein,  Ion transport,  Membrane,  Transmembrane,  Transmembrane helix,  Symport,  Cell projection, Transport,  Cell membrane,  Phosphoprotein,  Sodium transport"
Q8BUM6," Reference proteome,  Transmembrane, Membrane,  Phosphoprotein, Transmembrane helix"
Q8BUX5," Reference proteome,  Transmembrane helix,  Transmembrane, Membrane,  Cytoplasmic vesicle,  Glycoprotein, Transport,  Cell membrane, Ammonia transport"
Q8BVR6," Zinc-finger,  Secreted,  Zinc, Alternative splicing,  Metal-binding, Reference proteome,  Glycoprotein,  Signal,  Phosphoprotein"
Q8BYP3," GTP-binding, Lipoprotein,  Nucleotide-binding,  Cytoplasm,  Methylation,  Prenylation, Acetylation,  Membrane,  Cytoskeleton, Reference proteome,  Cell membrane"
Q8BZL4," Reference proteome, Cell membrane, Glycoprotein,  Transmembrane helix,  Membrane,  Receptor,  Cilium biogenesis/degradation, Transmembrane,  Transducer,  G-protein coupled receptor"
Q8C015,"Apoptosis,  Reference proteome,  Cytoplasm, Nucleotide-binding,  Nucleus,  Mitochondrion,  Kinase,  Phosphoprotein,  Transferase, Serine/threonine-protein kinase,  ATP-binding"
Q8C079," Cytoplasm,  Alternative splicing, Acetylation, Reference proteome,  Phosphoprotein"
Q8C0E3," Reference proteome, Nucleus,  Cytoplasm,  Methylation,  Coiled coil,  Zinc-finger,  Zinc, Alternative splicing,  Metal-binding,  Phosphoprotein,  Transferase, Ubl conjugation pathway"
Q8C0L9," Hydrolase,  Cytoplasm, Alternative splicing, Reference proteome,  Phosphoprotein"
Q8C0M8," Reference proteome,  Cytoplasm, Motor protein,  Repeat,  WD repeat,  Cilium,  Cytoskeleton,  Phosphoprotein, Cell projection,  Dynein,  Microtubule"
Q8C0Y0," Cytoplasm,  Coiled coil,  Repeat, Alternative splicing, Reference proteome,  Phosphoprotein"
Q8C1Q4," Neurogenesis,  Secreted, Direct protein sequencing,  Disulfide bond, Alternative splicing,  Developmental protein, Reference proteome,  Signal,  Differentiation"
Q8C1S0," Reference proteome, Transcription regulation,  Transcription, Activator,  Nucleus,  Phosphoprotein"
Q8C4J0," Reference proteome, Alternative splicing,  Coiled coil"
Q8C753," Reference proteome,  Cytoplasm,  Coiled coil, Alternative splicing, Cytoskeleton,  Cell projection,  Phosphoprotein"
Q8C790," Reference proteome, Alternative splicing"
Q8C863," Antiviral defense, 3D-structure, Apoptosis,  Alternative splicing,  Cytoplasm,  Reference proteome,  Repeat,  Immunity, Membrane, Ubl conjugation,  Nucleus,  Acetylation,  Endosome,  Cell membrane,  Innate immunity,  Phosphoprotein,  Transferase,  Ubl conjugation pathway"
Q8C9S4,"Coiled coil,  Reference proteome,  Phosphoprotein"
Q8CAK1," Heme biosynthesis,  Reference proteome,  Transit peptide, Acetylation,  Mitochondrion, Transferase"
Q8CD92," Reference proteome, Alternative splicing,  TPR repeat,  Repeat"
Q8CDM1," Nucleotide-binding,  Alternative splicing,  Coiled coil, Hydrolase, Activator,  Transcription, Ubl conjugation,  Nucleus, Reference proteome,  Transcription regulation,  Isopeptide bond,  Phosphoprotein,  Bromodomain,  ATP-binding"
Q8CDT7," Reference proteome,  Cytoplasm,  Flagellum, Metal-binding,  Cilium,  Cytoskeleton, Calcium,  Cell projection"
Q8CDU6," Transferase,  Reference proteome, Phosphoprotein,  Ubl conjugation pathway"
Q8CE13,"Coiled coil,  Reference proteome"
Q8CI70,"Leucine-rich repeat,  Reference proteome,  Repeat,  Phosphoprotein"
Q8CI95," Reference proteome,  Lipid transport, Acetylation,  Golgi apparatus, Membrane,  Transport,  Endosome,  Phosphoprotein,  Lipid-binding"
Q8CIW5," Nucleotide-binding,  Coiled coil,  Transit peptide,  DNA replication, Alternative splicing, Hydrolase,  Mitochondrion nucleoid, Reference proteome,  Mitochondrion,  Helicase,  ATP-binding"
Q8CJF7,"3D-structure, Chromosome,  Cell cycle,  Cytoplasm,  Centromere,  Kinetochore, Mitosis,  Nuclear pore complex,  Reference proteome,  Transcription,  Developmental protein,  Acetylation,  Nucleus, Protein transport, Transport,  Phosphoprotein,  DNA-binding,  Translocation,  Cell division,  mRNA transport"
Q8JZL3," Hydrolase, 3D-structure,  Magnesium,  Cytoplasm,  Metal-binding, Reference proteome,  Acetylation"
Q8JZW4," Repeat,  Metal-binding, Calcium, Reference proteome,  Cell projection,  Phosphoprotein,  Differentiation"
Q8K0B3," Repeat, Glycoprotein,  Transmembrane,  Membrane,  Transmembrane helix,  Leucine-rich repeat, Reference proteome,  Phosphoprotein"
Q8K0Z9,"Cell membrane,  Transmembrane helix,  Transmembrane,  Receptor,  Membrane, Reference proteome,  Transducer,  G-protein coupled receptor"
Q8K135," Reference proteome,  Repeat, Alternative splicing,  Transmembrane,  Golgi apparatus, Membrane,  Glycoprotein,  Cell membrane,  Phosphoprotein, Transmembrane helix"
Q8K1A0," S-adenosyl-L-methionine,  Nucleus,  Cell projection, Reference proteome,  Methyltransferase,  Transferase, Cell junction,  Synapse"
Q8K1X1," Reference proteome,  Cytoplasm,  Repeat, Golgi apparatus,  Cytoskeleton,  Cytoplasmic vesicle,  Nucleus,  Phosphoprotein, Cell projection, WD repeat"
Q8K262,"Coiled coil,  Reference proteome,  Signal,  Secreted"
Q8K285,"Coated pit,  Coiled coil,  Membrane,  Endocytosis, Reference proteome,  Phosphoprotein"
Q8K2W3," Reference proteome,  Coiled coil,  Repeat,  Disulfide bond, Alternative splicing,  Transmembrane helix,  Endoplasmic reticulum, Membrane, Transmembrane,  Redox-active center,  Phosphoprotein"
Q8K3C3,"Coiled coil,  Reference proteome"
Q8K3I4," Reference proteome,  Cytoplasm,  Zinc-finger,  Repeat,  Zinc,  Metal-binding,  Cytoplasmic vesicle, Phosphoprotein, Actin-binding"
Q8K400," Exocytosis,  Reference proteome,  Cytoplasm,  Coiled coil,  Repeat, Alternative splicing,  WD repeat, Membrane,  Protein transport, Transport,  Cell membrane,  Phosphoprotein"
Q8K442," Nucleotide-binding,  Repeat,  Transmembrane helix,  Transmembrane,  Membrane,  Transport, Reference proteome, ATP-binding,  Glycoprotein,  Cell membrane"
Q8K4F6," S-adenosyl-L-methionine, Acetylation,  RNA-binding, Reference proteome,  Nucleus,  rRNA processing, Transferase,  Phosphoprotein,  Methyltransferase"
Q8K4M5," Reference proteome, Nucleus,  Cytoplasm, Transcription regulation,  Membrane,  Metal-binding,  Transcription,  Transport,  Cytoplasmic vesicle,  Protein transport,  Endosome,  Ubl conjugation, Copper, Ubl conjugation pathway"
Q8K4S1," Hydrolase,  Lipid degradation,  Cytoplasm,  Repeat, Guanine-nucleotide releasing factor,  Membrane,  Golgi apparatus,  Metal-binding, Calcium, Reference proteome,  Cell projection,  Cell membrane,  Phosphoprotein, Lipid metabolism,  Transducer"
Q8QZR7," Reference proteome,  Nucleotide-binding,  Nucleus, ATP-binding,  Kinase,  Transferase, Serine/threonine-protein kinase"
Q8QZX0," Reference proteome,  Nucleotide-binding,  Cytoplasm, ATP-binding,  Kinase,  Transferase, Serine/threonine-protein kinase"
Q8R0G7," Reference proteome,  Lipid transport, Acetylation,  Transmembrane helix,  Membrane,  Transport, Transmembrane,  Mitochondrion,  Phosphoprotein, Mitochondrion inner membrane"
Q8R123," Nucleotide-binding,  Reference proteome,  Cytoplasm,  Alternative splicing,  Flavoprotein,  FMN, Acetylation, Direct protein sequencing,  FAD,  Phosphoprotein,  Transferase,  ATP-binding, Nucleotidyltransferase"
Q8R1B5," Exocytosis,  Methylation,  Coiled coil,  Vision,  Prenylation,  Sensory transduction, Cell junction, Membrane,  Neurotransmitter transport, Reference proteome,  Transport,  Cell membrane,  Lipoprotein,  Synapse"
Q8R3T5," Reference proteome,  Cytoplasm,  Coiled coil, Acetylation,  Membrane"
Q8R404," Reference proteome,  Transmembrane helix, Membrane, Transmembrane,  Mitochondrion,  Mitochondrion inner membrane"
Q8R4I1," Cytoplasm, Acetylation,  Transcription,  Cytoskeleton,  Nucleus, Reference proteome, Ubl conjugation,  Transcription regulation,  Isopeptide bond"
Q8R4K8," Hydrolase,  Metalloprotease,  Protease,  Reference proteome,  Sushi,  Repeat, Metal-binding,  Disulfide bond, Alternative splicing,  Zinc, Secreted,  Glycoprotein,  Signal,  Zymogen"
Q8R4Y0," Repeat, Immunoglobulin domain,  Disulfide bond, Alternative splicing,  Membrane,  Receptor,  Transmembrane,  Transmembrane helix, Reference proteome,  Glycoprotein,  Cell membrane,  Signal,  Phosphoprotein"
Q8VBS7," Reference proteome, Cell membrane,  Disulfide bond,  Pheromone response,  Receptor,  Transmembrane helix, Membrane, Transmembrane,  Glycoprotein,  Transducer,  G-protein coupled receptor"
Q8VCC9," Reference proteome,  Extracellular matrix,  Repeat,  Secreted, Metal-binding,  Disulfide bond, Cell adhesion,  Glycoprotein,  Signal"
Q8VCD3," Disulfide bond, Alternative splicing,  Membrane,  Transmembrane,  Transmembrane helix,  Lectin, Reference proteome,  Glycoprotein,  Signal"
Q8VCE6," Nucleotide metabolism,  Reference proteome,  Magnesium, Nucleotide-binding,  Transit peptide, Hydrolase,  Metal-binding,  Mitochondrion"
Q8VCM4," Reference proteome, Transit peptide, Acyltransferase,  Mitochondrion,  Transferase"
Q8VCU1," Reference proteome,  Disulfide bond, Alternative splicing, Hydrolase,  Endoplasmic reticulum,  Glycoprotein,  Signal,  Serine esterase"
Q8VDI7," Reference proteome,  Cytoplasm,  Repeat, Acetylation,  Polymorphism, Ubl conjugation pathway"
Q8VDK1," Hydrolase,  Cytoplasm,  Transit peptide, Alternative splicing, Reference proteome,  Mitochondrion"
Q8VEG6," Reference proteome,  Magnesium,  Cytoplasm,  mRNA processing,  Exonuclease,  Repeat, Alternative splicing, Hydrolase,  Metal-binding, Nuclease,  Leucine-rich repeat,  Nucleus, Transcription,  Transcription regulation,  Direct protein sequencing,  RNA-mediated gene silencing,  Translation regulation"
Q8VEH8," Reference proteome,  Endoplasmic reticulum, Disulfide bond,  Glycoprotein, Repeat,  Signal"
Q8VGQ7," Reference proteome, Cell membrane,  Sensory transduction,  Disulfide bond,  Transmembrane,  Receptor,  Transmembrane helix,  Olfaction, Membrane,  Glycoprotein, Transducer,  G-protein coupled receptor"
Q8VHA6," Reference proteome,  Repeat, Alternative splicing,  ANK repeat, Ubl conjugation pathway"
Q8VHH7," Transmembrane helix,  Transmembrane,  Ubl conjugation, Sensory transduction,  Reference proteome,  Repeat,  Golgi apparatus, ATP-binding,  Glycoprotein,  Cell membrane,  Isopeptide bond, Cell projection,  Calmodulin-binding,  Metal-binding,  Phosphoprotein,  Nucleotide-binding,  Magnesium,  Cytoplasm, Olfaction,  Membrane,  Manganese,  cAMP biosynthesis, Lyase"
Q8VIK5," Reference proteome,  EGF-like domain,  Repeat,  Disulfide bond, Alternative splicing, Glycoprotein,  Membrane,  Transmembrane helix, Transmembrane,  Cell membrane,  Signal,  Phosphoprotein"
Q91V51," Reference proteome,  Cytoplasm, Nucleotide-binding,  Cytoskeleton, ATP-binding,  Ligase,  Microtubule"
Q91WA4," Reference proteome,  Zinc,  Metal-binding,  Nucleus, Cytoplasm,  DNA-binding, Zinc-finger"
Q91XY4,"3D-structure,  Reference proteome,  Repeat,  Transmembrane,  Cell adhesion, Membrane,  Glycoprotein,  Cell membrane,  Signal,  Calcium, Transmembrane helix"
Q91Y13,"3D-structure,  Reference proteome,  Repeat,  Disulfide bond, Glycoprotein,  Membrane,  Metal-binding,  Transmembrane helix,  Cell adhesion, Transmembrane,  Cell membrane,  Signal,  Calcium"
Q91ZM2,"3D-structure,  Reference proteome, Nucleus,  Cytoplasm,  Alternative splicing,  Methylation,  SH2 domain,  Membrane,  Phosphoprotein"
Q920A9," Reference proteome,  Cytoplasm,  Repeat, Immunoglobulin domain,  Disulfide bond, Alternative splicing,  Signal,  Differentiation"
Q920G8,"Iron transport,  Repeat,  Ion transport, Alternative splicing,  Membrane,  Transmembrane,  Transmembrane helix,  Iron,  Transport, Reference proteome,  Mitochondrion,  Mitochondrion inner membrane,  Direct protein sequencing"
Q920P3," Growth arrest,  Cell cycle,  Cytoplasm, Alternative splicing, Reference proteome,  Glycoprotein,  Signal"
Q920Q6," Cytoplasm,  Alternative splicing,  Methylation,  Repeat, Acetylation,  RNA-binding, Reference proteome,  Phosphoprotein"
Q9D978," Reference proteome,  Cytoplasm,  Repeat,  Kelch repeat, Alternative splicing,  Cytoskeleton,  Nucleus, Phosphoprotein"
Q921C3," Reference proteome, Transcription regulation,  Cytoplasm,  Alternative splicing,  Repeat, Activator,  Transcription,  WD repeat,  Nucleus, Phosphoprotein,  Bromodomain"
Q921Z5,"3D-structure,  Cytoplasm,  Alternative splicing,  Apoptosis,  Coiled coil, Reference proteome"
Q922V4," Spliceosome,  mRNA processing,  Repeat, Acetylation,  WD repeat,  Nucleus, Reference proteome,  mRNA splicing,  Phosphoprotein"
Q923B3,"Apoptosis,  Repressor, Transcription regulation,  Cytoplasm,  Zinc-finger,  Repeat,  Zinc,  Metal-binding,  Transcription,  Nucleus, Reference proteome,  Isopeptide bond,  Ubl conjugation,  DNA-binding"
Q924H2," Cytoplasm,  Methylation, Activator,  Transcription, Ubl conjugation,  Nucleus, Reference proteome,  Transcription regulation,  Phosphoprotein"
Q925H0," Reference proteome, Sodium,  Disulfide bond, Alternative splicing,  Ion transport,  Membrane,  Sodium channel,  Transmembrane,  Transport,  Glycoprotein,  Cell membrane,  Phosphoprotein, Transmembrane helix,  Sodium transport, Ion channel"
Q99J38," Coiled coil,  Repeat,  TPR repeat,  Cilium biogenesis/degradation,  Cilium, Reference proteome, Cell projection"
Q99J87," Nucleotide-binding,  Cytoplasm,  Coiled coil,  RNA-binding,  Immunity,  Zinc, Hydrolase,  Metal-binding, Antiviral defense, Reference proteome,  Innate immunity,  Helicase,  ATP-binding"
Q99JP7," Hydrolase,  Reference proteome,  Transmembrane helix,  Zymogen, Membrane, Acyltransferase, Transmembrane,  Glycoprotein,  Phosphoprotein,  Transferase,  Glutathione biosynthesis,  Signal-anchor"
Q99K46," Hydrolase,  Thiol protease,  Reference proteome,  Cytoplasm, Acetylation, Protease,  Nucleus,  Chromosome,  Phosphoprotein,  Ubl conjugation pathway"
Q99KF1," Reference proteome,  Coiled coil, Acetylation, Golgi apparatus,  Transmembrane helix,  Membrane,  Endoplasmic reticulum,  Transport, Transmembrane,  Glycoprotein,  Protein transport,  Signal"
Q99LJ0," Cytoplasm,  Coiled coil,  Cytoskeleton, Reference proteome,  Phosphoprotein, Cell projection"
Q99MU3," Methylation,  Transcription,  Nucleus,  Ubl conjugation,  RNA-mediated gene silencing,  Reference proteome,  Repeat,  Zinc,  Isopeptide bond,  Hydrolase,  Antiviral defense, Alternative splicing,  Metal-binding, Immunity,  Innate immunity,  Phosphoprotein,  DNA-binding, Transcription regulation,  Cytoplasm, RNA-binding, mRNA processing"
Q99MY8,"Methylation, Acetylation,  Nucleus, Transcription,  Ubl conjugation,  Zinc-finger,  Repeat,  Chromatin regulator, Reference proteome,  Isopeptide bond,  Direct protein sequencing,  Transferase,  Cell junction,  S-adenosyl-L-methionine, Zinc,  Metal-binding,  Tight junction,  Transcription regulation,  Phosphoprotein,  Bromodomain,  Activator, Chromosome,  Methyltransferase"
Q99MZ6,"3D-structure,  Nucleotide-binding,  Reference proteome,  Cytoplasm,  Motor protein,  Repeat,  Myosin,  SH3 domain,  Actin-binding, Cytoskeleton,  Cell projection, Phosphoprotein,  Differentiation,  ATP-binding"
Q99N99,"Oxidoreductase,  Reference proteome,  Transmembrane,  Membrane,  Microsome, Differentiation,  Endoplasmic reticulum,  NADP, Transmembrane helix,  Sexual differentiation"
Q99NB8,"3D-structure,  Reference proteome,  Cytoplasm,  Endoplasmic reticulum,  Cytoplasmic vesicle,  DNA repair,  Nucleus, Phosphoprotein,  Chromosome,  Isopeptide bond,  Ubl conjugation,  Autophagy, DNA damage"
Q99NF2," Cell junction,  Reference proteome, Alternative splicing,  Membrane,  Myristate,  Cytoskeleton,  Nucleus,  Cell projection, Phosphoprotein,  Cell membrane,  Synaptosome, Cytoplasm,  Lipoprotein,  Synapse"
Q99PM9," Nucleotide-binding, Acetylation, Reference proteome,  Kinase,  Phosphoprotein,  Transferase,  ATP-binding"
Q9CQ40,"Mitochondrion,  Reference proteome,  Ribonucleoprotein,  Ribosomal protein"
Q9CQC9," GTP-binding,  Nucleotide-binding,  Reference proteome, Endoplasmic reticulum, Magnesium,  Membrane,  Golgi apparatus,  Metal-binding,  Transport, Protein transport,  Phosphoprotein,  ER-Golgi transport"
Q9CQH7,"Methylation,  Reference proteome,  Phosphoprotein"
Q9CQJ2,"3D-structure,  Reference proteome, Transcription regulation,  Transcription,  Nucleus,  Phosphoprotein"
Q9CQK7,"Acetylation,  Reference proteome,  Phosphoprotein"
Q9CQN7,"Apoptosis,  Reference proteome,  Cell cycle,  Transit peptide,  Ribosomal protein,  Mitochondrion, Ribonucleoprotein"
Q9CQR6," Hydrolase,  Cell cycle,  Cytoplasm, Acetylation,  Immunity,  Metal-binding, Reference proteome,  Mitochondrion,  Innate immunity, Manganese,  Protein phosphatase"
Q9CQY5," Reference proteome,  Magnesium,  Disulfide bond, Alternative splicing, Glycoprotein,  Membrane,  Endoplasmic reticulum,  Transmembrane helix,  Transport, Transmembrane,  Cell membrane,  Signal"
Q9CRA8," Reference proteome, RNA-binding,  Exosome,  Nucleus,  rRNA processing,  Phosphoprotein, Cytoplasm"
Q9CRB8,"Apoptosis,  Reference proteome,  Transmembrane,  Membrane,  Mitochondrion,  Direct protein sequencing, Transmembrane helix, Mitochondrion inner membrane"
Q9CTN5," Reference proteome,  DNA recombination, Alternative splicing,  Developmental protein,  Chromosome, Meiosis,  Phosphoprotein"
Q9CX00,"Cell cycle,  Reference proteome, Nucleus,  Cytoplasm,  Cytoskeleton,  Cytoplasmic vesicle,  Phosphoprotein,  Cell division"
Q9CXP8," Reference proteome,  Methylation, Acetylation,  Membrane,  Cell membrane,  Lipoprotein,  Transducer, Prenylation"
Q9CZN8," Nucleotide-binding,  Reference proteome, Protein biosynthesis, ATP-binding,  Mitochondrion,  Ligase"
Q9D0T7," Reference proteome,  Secreted, Disulfide bond,  Glycoprotein,  Signal"
Q9D1H6," Reference proteome,  Membrane, Calmodulin-binding,  Myristate,  Mitochondrion, Phosphoprotein,  Lipoprotein"
Q9D1H7," Reference proteome,  Cytoplasm,  Alternative splicing, Acetylation, Transport,  Ubl conjugation"
Q9D2V7,"Isopeptide bond,  Cytoplasm,  Repeat,  Membrane,  Golgi apparatus,  WD repeat,  Transport,  Cytoplasmic vesicle, Reference proteome,  Protein transport,  Ubl conjugation,  Phosphoprotein, Actin-binding"
Q9D3J9," Reference proteome, Nucleus,  Lysosome,  Immunity,  Membrane,  Endosome,  Innate immunity,  Phosphoprotein, Cytoplasm"
Q9D3R5," Immunoglobulin domain,  Transmembrane helix,  Transmembrane,  Membrane, Disulfide bond, Reference proteome,  Glycoprotein,  Signal"
Q9D3R9,"Transcription regulation,  Cytoplasm,  Coiled coil, Alternative splicing, Differentiation,  Transcription,  Developmental protein,  Nucleus, Reference proteome,  Spermatogenesis,  Phosphoprotein,  Direct protein sequencing"
Q9D3X9," Immunoglobulin domain,  Cytoplasm,  Disulfide bond, Alternative splicing, Glycoprotein,  Membrane,  Transmembrane,  Transmembrane helix,  Nucleus, Reference proteome,  Cell membrane,  Signal,  Phosphoprotein"
Q9D4F8,"Cytoplasm,  Reference proteome,  Microtubule,  Cytoskeleton"
Q9D4W2," Membrane,  Mitochondrion outer membrane, Reference proteome,  Mitochondrion, Cytoplasm"
Q9D5R4," Reference proteome, Alternative splicing,  Coiled coil"
Q9D5U8," Nucleotide-binding,  Cytoplasm, Alternative splicing, Reference proteome,  cAMP-binding,  cAMP"
Q9D5V5,"3D-structure,  Reference proteome, Ubl conjugation,  Isopeptide bond,  Phosphoprotein,  Ubl conjugation pathway"
Q9D684," Reference proteome,  SH2 domain,  Cytoplasm, Alternative splicing,  Endocytosis, Phosphoprotein,  GTPase activation"
Q9D6F4," Reference proteome,  Chloride,  Ligand-gated ion channel,  Disulfide bond, Glycoprotein,  Ion transport,  Receptor, Synapse, Membrane,  Transmembrane,  Transmembrane helix,  Transport,  Chloride channel,  Cell membrane,  Signal,  Ion channel, Cell junction,  Postsynaptic cell membrane"
Q9D6T0," Reference proteome,  Cytoplasm, Alternative splicing,  Developmental protein,  Nucleus, Phosphoprotein,  Transferase,  Ubl conjugation pathway"
Q9D787," Reference proteome,  Coiled coil, Acetylation,  Nucleus, Transferase,  Isopeptide bond,  Ubl conjugation,  Ubl conjugation pathway"
Q9D7G0," Nucleotide-binding,  Magnesium,  Reference proteome,  Metal-binding, ATP-binding,  Kinase, Transferase, Nucleotide biosynthesis,  Direct protein sequencing"
Q9DA79," Hydrolase, Lipoprotein,  Metalloprotease,  Protease, Dipeptidase,  Disulfide bond,  Zinc,  GPI-anchor,  Membrane,  Metal-binding, Reference proteome,  Glycoprotein,  Signal"
Q9DB27," Cell cycle,  Cytoplasm, Alternative splicing,  Growth regulation, Initiation factor,  Transcription, Tumor suppressor, Reference proteome,  Protein biosynthesis,  Transcription regulation,  Phosphoprotein,  DNA damage"
Q9DB70,"Autophagy,  Reference proteome,  Transmembrane helix,  Transmembrane,  Membrane,  Mitochondrion outer membrane,  Mitochondrion, Phosphoprotein"
Q9DBC0," Nucleotide-binding,  Magnesium,  Reference proteome,  Transit peptide,  Selenocysteine,  Metal-binding, ATP-binding,  Mitochondrion, Transferase,  Phosphoprotein, Nucleotidyltransferase"
Q9DBH5," Reference proteome, Metal-binding,  Disulfide bond,  Transmembrane helix,  Membrane,  Golgi apparatus,  Lectin, Calcium, Transmembrane,  Glycoprotein,  Protein transport,  Transport,  Signal"
Q9DBX2," Reference proteome,  Vision, Acetylation,  Sensory transduction,  Cilium biogenesis/degradation,  Chaperone,  Cell projection, Phosphoprotein"
Q9DCT5,"Reference proteome,  Signal,  Secreted,  Repeat"
Q9DCV3,"Lipid biosynthesis,  Cytoplasm,  Transmembrane helix,  Transmembrane,  Membrane,  Endoplasmic reticulum, Acyltransferase,  Lipid metabolism, Reference proteome,  Lipid droplet,  Transferase,  Glycerol metabolism"
Q9EP97," Hydrolase,  Thiol protease,  Protease,  Nucleus, Reference proteome,  Phosphoprotein, Cytoplasm,  Ubl conjugation pathway"
Q9EQG9," Cytoplasm,  Coiled coil,  Lipid transport, Golgi apparatus, Alternative splicing,  Endoplasmic reticulum,  Transport, Reference proteome,  Phosphoprotein,  Lipid-binding"
Q9EQJ9," Cell junction,  Reference proteome, Nucleotide-binding,  Repeat, Tight junction, Alternative splicing,  Membrane,  Nucleus,  Cell membrane,  Phosphoprotein,  ATP-binding"
Q9EQP6," Vision,  Sensory transduction,  Disulfide bond, Reference proteome,  Direct protein sequencing, Cell projection"
Q9EQZ6," Exocytosis, 3D-structure,  Nucleotide-binding,  Reference proteome,  Alternative splicing,  Cytoplasm,  Repeat,  Alternative promoter usage,  Guanine-nucleotide releasing factor, Membrane, cAMP-binding,  cAMP"
Q9ER58," Reference proteome,  Extracellular matrix,  Disulfide bond, Secreted, Calcium,  Glycoprotein,  Signal,  Phosphoprotein, Heparan sulfate,  Proteoglycan"
Q9ES00,"3D-structure,  Cytoplasm,  Nucleus,  Acetylation, Reference proteome,  Phosphoprotein,  Transferase,  Ubl conjugation pathway"
Q9ESM6," Hydrolase,  Reference proteome,  Cytoplasm, Cell membrane, Metal-binding,  Transmembrane helix,  Transmembrane,  Membrane,  Cytoskeleton,  Glycoprotein"
Q9ESP1," Reference proteome, Endoplasmic reticulum,  Repeat,  Signal,  Phosphoprotein"
Q9JHU2," Cell junction, Isopeptide bond,  Reference proteome,  Cytoplasm,  Coiled coil, Acetylation, Ubl conjugation,  Cell projection,  Phosphoprotein,  Synapse"
Q9JIC3,"Cell cycle,  Reference proteome,  Zinc-finger, Metal-binding,  Zinc, Ubl conjugation,  DNA repair,  Nucleus,  Isopeptide bond,  Phosphoprotein,  DNA damage,  Cell division,  Mitosis"
Q9JIH2,"3D-structure,  Repeat,  Membrane,  Transport, Nuclear pore complex,  Nucleus,  Acetylation,  Protein transport, Reference proteome,  Isopeptide bond,  Ubl conjugation,  Phosphoprotein,  Translocation,  mRNA transport"
