,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Biological Process,GO ID BP,Keywords,GO Molecular Function,GO ID MF,Biological Process Label,Molecular Function Label,Cellular Component Label
211,Q60974,NCOR1_MOUSE,Nuclear receptor corepressor 1,Mus musculus (Mouse),"nucleoplasm ISO, nucleus IDA, cytosol ISO, nuclear chromatin ISO, mitotic spindle ISO, perinuclear region of cytoplasm ISO, transcription regulator complex IPI, transcription repressor complex IPI, histone deacetylase complex ISO, cytoplasm IDA","GO:0072686, GO:0005667, GO:0005829, GO:0000118, GO:0005737, GO:0005634, GO:0048471, GO:0000790, GO:0017053, GO:0005654","negative regulation of JNK cascade ISO, chromatin organization IEA, negative regulation of androgen receptor signaling pathway ISO, negative regulation of fatty acid metabolic process ISO, regulation of transcription by RNA polymerase II IGI, cholesterol homeostasis IMP, negative regulation of transcription by RNA polymerase II IMP, negative regulation of transcription, DNA-templated IDA, negative regulation of gene expression ISO, negative regulation of phosphatidylinositol 3-kinase signaling IMP, positive regulation of cell population proliferation ISO, positive regulation of histone deacetylation IDA, regulation of thyroid hormone mediated signaling pathway IGI, cellular response to Thyroglobulin triiodothyronine IGI, definitive erythrocyte differentiation IMP, negative regulation of production of miRNAs involved in gene silencing by miRNA ISO, spindle assembly ISO, circadian regulation of gene expression IGI, CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation IMP, thalamus development IMP, negative regulation of glycolytic process ISO, regulation of multicellular organism growth IGI, locomotor rhythm IMP","GO:0000122, GO:0060766, GO:0045892, GO:0045922, GO:0002155, GO:0045475, GO:1903799, GO:0008284, GO:0045820, GO:0014067, GO:0031065, GO:1904017, GO:0002361, GO:0060318, GO:0042632, GO:0032922, GO:0010629, GO:0006357, GO:0006325, GO:0051225, GO:0021794, GO:0040014, GO:0046329"," Repressor, Transcription regulation,  Alternative splicing,  Repeat,  Biological rhythms, Acetylation,  Chromatin regulator,  Transcription,  Ubl conjugation,  Nucleus, Coiled coil, Reference proteome,  Isopeptide bond,  Phosphoprotein,  DNA-binding","retinoic acid receptor binding IDA, RNA polymerase II activating transcription factor binding ISO, transcription corepressor activity IGI, nuclear hormone receptor binding ISO, protein domain specific binding IPI, sequence-specific DNA binding IDA, histone deacetylase regulator activity IDA, peroxisome proliferator activated receptor binding ISO, estrogen receptor binding ISO, RNA polymerase II transcription regulatory region sequence-specific DNA binding ISO, transcription regulatory region sequence-specific DNA binding IDA, DNA binding IDA, histone deacetylase binding ISO, retinoid X receptor binding IDA, chromatin binding IDA, thyroid hormone receptor binding IDA","GO:0003714, GO:0003677, GO:0000976, GO:0003682, GO:0001102, GO:0019904, GO:0042974, GO:0000977, GO:0035257, GO:0043565, GO:0046966, GO:0046965, GO:0042975, GO:0042826, GO:0030331, GO:0035033","GO:0002376, GO:0009987, GO:0048511, GO:0032502, GO:0050896, GO:0032501, GO:0065007, GO:0007610","GO:0098772, GO:0140110, GO:0005488","GO:0005667, GO:0043228, GO:1902494, GO:0043227, GO:0140513, GO:0043229"
212,Q60976,JERKY_MOUSE,Jerky protein {ECO:0000303|PubMed:7550318},Mus musculus (Mouse),"cytoplasm IDA, ribonucleoprotein complex IDA, nucleus IDA","GO:0005737, GO:0005634, GO:1990904",positive regulation of canonical Wnt signaling pathway ISO,GO:0090263," Nucleus,  Reference proteome, DNA-binding","mRNA binding IDA, DNA binding IBA","GO:0003677, GO:0003729",GO:0065007,GO:0005488,"GO:0043229, GO:0043227"
213,Q60989,XIAP_MOUSE,E3 ubiquitin-protein ligase XIAP,Mus musculus (Mouse),"protein-containing complex ISO, cytosol ISO, perinuclear region of cytoplasm ISO, spindle microtubule IBA, cytoplasm IDA, nucleus ISO","GO:0005876, GO:0005829, GO:0005737, GO:0005634, GO:0048471, GO:0032991","positive regulation of protein ubiquitination ISO, inhibition of cysteine-type endopeptidase activity involved in apoptotic process IMP, negative regulation of neuron apoptotic process ISO, negative regulation of apoptotic process IDA, mitotic spindle assembly IBA, positive regulation of protein linear polyubiquitination ISO, Wnt signaling pathway IEA, positive regulation of canonical Wnt signaling pathway ISO, negative regulation of cysteine-type endopeptidase activity involved in apoptotic process IDA, cellular response to DNA damage stimulus IEA, neuron apoptotic process IMP","GO:0031398, GO:0090307, GO:0043524, GO:0043066, GO:0016055, GO:0006974, GO:0090263, GO:1902530, GO:0051402, GO:0043154, GO:1990001","Apoptosis,  Reference proteome,  Cytoplasm,  Wnt signaling pathway,  Repeat,  Zinc,  Metal-binding,  S-nitrosylation, Ubl conjugation,  Nucleus, Phosphoprotein,  Isopeptide bond,  Transferase, Zinc-finger,  Ubl conjugation pathway","cysteine-type endopeptidase inhibitor activity involved in apoptotic process IBA, scaffold protein binding ISO, ubiquitin protein ligase activity ISO, identical protein binding ISO, ubiquitin-protein transferase activity ISS, protease binding ISO, metal ion binding IEA","GO:0004842, GO:0043027, GO:0042802, GO:0046872, GO:0061630, GO:0097110, GO:0002020","GO:0065007, GO:0009987, GO:0050896","GO:0005488, GO:0098772, GO:0003824","GO:0043229, GO:0099080, GO:0043227"
214,Q61056,TRPC1_MOUSE,Short transient receptor potential channel 1,Mus musculus (Mouse),"basolateral plasma membrane IMP, cation channel complex IBA, receptor complex ISO, plasma membrane ISO, sarcomere IDA, costamere IDA, protein-containing complex IPI, integral component of plasma membrane IBA, membrane raft IDA, cytoplasm IDA","GO:0016323, GO:0005887, GO:0005886, GO:0005737, GO:0045121, GO:0030017, GO:0034703, GO:0043034, GO:0043235, GO:0032991","calcium ion transmembrane transport IBA, saliva secretion IMP, positive regulation of release of sequestered calcium ion into cytosol ISO, response to calcium ion ISO, melanin biosynthetic process ISO, regulation of cytosolic calcium ion concentration ISO, manganese ion transport IBA","GO:0051480, GO:0051281, GO:0070588, GO:0051592, GO:0042438, GO:0006828, GO:0046541"," Repeat,  Ion transport, Alternative splicing,  ANK repeat, Calcium transport,  Membrane,  Transmembrane,  Transmembrane helix, Reference proteome,  Transport,  Phosphoprotein,  Ion channel,  Calcium,  Calcium channel","ion channel binding ISO, store-operated calcium channel activity IMP, signaling receptor binding ISO, cation channel activity ISO, ATPase binding ISO, inositol 1,4,5 trisphosphate binding ISO","GO:0070679, GO:0051117, GO:0005102, GO:0044325, GO:0005261, GO:0015279","GO:0009987, GO:0008152, GO:0051179, GO:0050896, GO:0032501, GO:0065007","GO:0005215, GO:0005488","GO:0098796, GO:0098857, GO:0031224, GO:1990351, GO:0098590"
215,Q61062,DVL3_MOUSE,Segment polarity protein dishevelled homolog DVL-3,Mus musculus (Mouse),"cytosol ISO, nuclear chromatin ISO, cytoplasm IDA, Wnt signalosome IDA","GO:0005737, GO:0000790, GO:1990909, GO:0005829","positive regulation of transcription by RNA polymerase II ISO, positive regulation of transcription, DNA-templated ISO, non-canonical Wnt signaling pathway via JNK cascade IDA, intracellular signal transduction IEA, heart morphogenesis IGI, non-canonical Wnt signaling pathway IGI, positive regulation of GTPase activity ISO, positive regulation of neuron projection arborization ISO, positive regulation of protein phosphorylation ISO, protein stabilization ISO, regulation of cellular protein localization ISO, positive regulation of JUN kinase activity ISO, midbrain dopaminergic neuron differentiation NAS, Wnt signaling pathway, planar cell polarity pathway IGI, planar cell polarity pathway involved in neural tube closure IGI, canonical Wnt signaling pathway IMP, cochlea morphogenesis IGI, outflow tract septum morphogenesis IMP","GO:0038031, GO:0043507, GO:0045944, GO:0001934, GO:0035556, GO:0003148, GO:1904948, GO:0060070, GO:0150012, GO:0050821, GO:0060071, GO:0090103, GO:0043547, GO:1903827, GO:0090179, GO:0035567, GO:0003007, GO:0045893"," Methylation,  Wnt signaling pathway,  Ubl conjugation,  Developmental protein, Reference proteome,  Phosphoprotein, Cytoplasm","frizzled binding ISO, beta-catenin binding ISO, signaling receptor binding ISO, protein-macromolecule adaptor activity IDA, Rac GTPase binding ISO, protease binding ISO","GO:0008013, GO:0048365, GO:0005102, GO:0030674, GO:0005109, GO:0002020","GO:0065007, GO:0009987, GO:0032502","GO:0060090, GO:0005488",
216,Q61122,NAB1_MOUSE,NGFI-A-binding protein 1,Mus musculus (Mouse),nucleus IBA,GO:0005634,"Schwann cell differentiation IGI, endochondral ossification IGI, myelination IGI, regulation of epidermis development IGI, negative regulation of transcription, DNA-templated IEA, regulation of transcription, DNA-templated IGI","GO:0045892, GO:0006355, GO:0014037, GO:0045682, GO:0042552, GO:0001958","Isopeptide bond,  Reference proteome,  Repressor,  Ubl conjugation,  Nucleus, Transcription,  Transcription regulation,  Phosphoprotein","transcription factor binding IDA, transcription coregulator activity IBA","GO:0003712, GO:0008134","GO:0032501, GO:0065007, GO:0009987, GO:0032502","GO:0098772, GO:0140110, GO:0005488","GO:0043229, GO:0043227"
217,Q61143,TRPC6_MOUSE,Short transient receptor potential channel 6 {ECO:0000250|UniProtKB:Q9Y210},Mus musculus (Mouse),"cation channel complex IBA, membrane ISO, integral component of plasma membrane ISA, slit diaphragm IDA, plasma membrane IDA, cytoplasm ISO","GO:0005887, GO:0005886, GO:0005737, GO:0036057, GO:0034703, GO:0016020","cellular response to hypoxia IEA, calcium ion transmembrane transport IBA, neuron differentiation IEA, regulation of cytosolic calcium ion concentration IBA, positive regulation of neuron differentiation ISO, single fertilization IBA, cellular response to hydrogen peroxide ISO, positive regulation of calcium ion transport ISO, aging IEA, negative regulation of dendrite morphogenesis ISO, positive regulation of ion transmembrane transporter activity ISO, positive regulation of peptidyl-threonine phosphorylation ISO, manganese ion transport IBA, positive regulation of cytosolic calcium ion concentration IDA","GO:0045666, GO:0070301, GO:0010800, GO:0051928, GO:0051480, GO:0070588, GO:0050774, GO:0007338, GO:0007568, GO:0007204, GO:0030182, GO:0006828, GO:0071456, GO:0032414","3D-structure,  Reference proteome, Cell membrane,  Repeat,  Ion transport,  Transmembrane,  ANK repeat,  Calcium transport,  Membrane,  Transport,  Glycoprotein, Phosphoprotein,  Ion channel,  Calcium, Transmembrane helix,  Calcium channel","actinin binding ISO, calcium channel activity ISO, protein homodimerization activity ISS, store-operated calcium channel activity IDA, clathrin binding ISO, actin binding ISO, cation channel activity ISO, ATPase binding ISO, ion channel activity IDA, inositol 1,4,5 trisphosphate binding ISO","GO:0070679, GO:0005216, GO:0051117, GO:0030276, GO:0005261, GO:0042805, GO:0005262, GO:0015279, GO:0042803, GO:0003779","GO:0009987, GO:0051179, GO:0032502, GO:0050896, GO:0065007, GO:0022414","GO:0005215, GO:0005488","GO:1990351, GO:0030054, GO:0031224, GO:0098796"
218,Q61400,CEAMA_MOUSE,Carcinoembryonic antigen-related cell adhesion molecule 10,Mus musculus (Mouse),extracellular space IEA,GO:0005615,,," Immunoglobulin domain,  Repeat,  Secreted, Direct protein sequencing, Reference proteome,  Glycoprotein,  Signal",,,,,
219,Q61474,MSI1H_MOUSE,RNA-binding protein Musashi homolog 1,Mus musculus (Mouse),"cytosol TAS, polysome IDA, cytoplasm IDA, nucleus IDA","GO:0005737, GO:0005844, GO:0005634, GO:0005829",response to hormone ISO,GO:0009725,"3D-structure,  Reference proteome,  Cytoplasm,  Alternative splicing,  Repeat,  RNA-binding,  Nucleus,  Acetylation, Phosphoprotein","poly(U) RNA binding IDA, single-stranded RNA binding IDA, identical protein binding IPI","GO:0042802, GO:0008266, GO:0003727",GO:0050896,GO:0005488,"GO:0043229, GO:1990904, GO:0043227"
220,Q61532,MK06_MOUSE,Mitogen-activated protein kinase 6,Mus musculus (Mouse),"nucleus IDA, septin cytoskeleton IDA, cytosol ISO, protein-containing complex IDA, cytoplasm IDA","GO:0005829, GO:0005737, GO:0005634, GO:0032156, GO:0032991","cell cycle IEA, intracellular signal transduction IBA, regulation of gene expression IBA, protein phosphorylation IDA, positive regulation of dendritic spine development IGI","GO:0010468, GO:0060999, GO:0035556, GO:0006468, GO:0007049"," Nucleotide-binding,  Cell cycle,  Cytoplasm,  Reference proteome,  Serine/threonine-protein kinase,  Nucleus, ATP-binding,  Kinase, Phosphoprotein, Transferase,  Ubl conjugation","protein kinase binding IPI, ATP binding IEA, protein heterodimerization activity IPI, protein kinase activity IDA, MAP kinase activity IDA","GO:0004707, GO:0019901, GO:0004672, GO:0046982, GO:0005524","GO:0065007, GO:0009987, GO:0008152","GO:0005488, GO:0003824","GO:0043228, GO:0043229, GO:0043227"
221,Q61602,GLI3_MOUSE,Transcriptional activator GLI3,Mus musculus (Mouse),"cilium IDA, nucleoplasm TAS, nucleus IDA, axoneme IDA, nuclear speck IDA, cytosol ISO, transcription repressor complex IDA, cytoplasm IDA","GO:0017053, GO:0005829, GO:0005930, GO:0005737, GO:0005634, GO:0005654, GO:0016607, GO:0005929","roof of mouth development IMP, metanephros development IGI, oligodendrocyte differentiation IGI, response to estrogen IEA, forebrain development IMP, regulation of gene expression IGI, embryonic morphogenesis IMP, anterior/posterior pattern specification IMP, liver regeneration IEA, brain development IMP, mammary gland development IMP, camera-type eye development IGI, regulation of cell population proliferation IGI, pattern specification process IGI, positive regulation of alpha-beta T cell differentiation IMP, larynx morphogenesis IMP, protein processing IDA, anatomical structure formation involved in morphogenesis IGI, layer formation in cerebral cortex IMP, branching involved in ureteric bud morphogenesis IGI, embryonic skeletal system morphogenesis IGI, spinal cord motor neuron differentiation IGI, negative thymic T cell selection IMP, limb morphogenesis IMP, negative regulation of transcription, DNA-templated IDA, heart development IGI, developmental growth IMP, telencephalon development IMP, positive regulation of transcription, DNA-templated IDA, hippocampus development IMP, smoothened signaling pathway involved in dorsal/ventral neural tube patterning IGI, forebrain radial glial cell differentiation IMP, frontal suture morphogenesis IMP, artery development IGI, cerebral cortex radial glia guided migration IMP, cell differentiation involved in kidney development IGI, neural tube development IMP, dorsal/ventral pattern formation IMP, negative regulation of neuron differentiation IMP, tongue development IMP, negative regulation of cell differentiation IGI, positive regulation of chondrocyte differentiation IMP, odontogenesis of dentin-containing tooth IGI, branching morphogenesis of an epithelial tube IMP, subpallium development IMP, wound healing IEA, optic nerve morphogenesis IMP, positive regulation of protein import into nucleus IGI, anatomical structure development IGI, neuron fate commitment IMP, regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning IGI, regulation of cell differentiation IGI, inner ear development IGI, central nervous system development IMP, embryonic digestive tract development IMP, T cell differentiation in thymus IMP, mammary gland specification IGI, negative regulation of smoothened signaling pathway IMP, proximal/distal pattern formation IMP, smoothened signaling pathway IGI, camera-type eye morphogenesis IMP, embryonic neurocranium morphogenesis IMP, smoothened signaling pathway involved in spinal cord motor neuron cell fate specification IGI, positive regulation of neuroblast proliferation IMP, negative regulation of cell population proliferation IMP, positive regulation of transcription by RNA polymerase II IMP, prostate gland development IEA, smoothened signaling pathway involved in ventral spinal cord interneuron specification IGI, lambdoid suture morphogenesis IMP, lung development IMP, regulation of transcription, DNA-templated IMP, kidney development IGI, forebrain dorsal/ventral pattern formation IMP, positive regulation of osteoblast differentiation IMP, anterior semicircular canal development IMP, pallium development IMP, regulation of apoptotic process IMP, negative regulation of transcription by RNA polymerase II ISO, spinal cord dorsal/ventral patterning IGI, negative regulation of apoptotic process IMP, in utero embryonic development IMP, thymocyte apoptotic process IMP, lateral semicircular canal development IMP, limb development IMP, embryonic digit morphogenesis IMP, melanocyte differentiation IMP, negative regulation of alpha-beta T cell differentiation IMP, embryonic digestive tract morphogenesis IMP, embryonic limb morphogenesis IMP, axon guidance IMP, lateral ganglionic eminence cell proliferation IMP, sagittal suture morphogenesis IMP, vocalization behavior IMP, tube development IGI, negative regulation of canonical Wnt signaling pathway ISO, regulation of bone development IMP, hindgut morphogenesis IGI","GO:0042475, GO:0046638, GO:0007224, GO:0060840, GO:0021544, GO:0009954, GO:0035108, GO:0021861, GO:0021766, GO:0001658, GO:0045944, GO:0060364, GO:0042127, GO:0021801, GO:0090090, GO:0030324, GO:0033077, GO:0045665, GO:0030850, GO:0048663, GO:0016485, GO:0048589, GO:0007389, GO:0008285, GO:0048702, GO:0048598, GO:0048709, GO:0030326, GO:0001656, GO:0021819, GO:0048754, GO:0000122, GO:0070242, GO:0032332, GO:0035295, GO:0060873, GO:0045596, GO:0021513, GO:0048557, GO:0042981, GO:0045669, GO:0001701, GO:0042060, GO:0030879, GO:0060831, GO:0030900, GO:0007417, GO:0045892, GO:0001822, GO:0046639, GO:0021543, GO:0048704, GO:0022018, GO:0045893, GO:0060367, GO:0042307, GO:0043066, GO:0048593, GO:0021776, GO:0006355, GO:0007411, GO:0060021, GO:0060875, GO:0043627, GO:0009952, GO:0021798, GO:0021522, GO:0071625, GO:1903010, GO:0048839, GO:0060594, GO:0010468, GO:0007442, GO:0045595, GO:0045879, GO:0007420, GO:0030318, GO:0021631, GO:0007507, GO:0097421, GO:0045060, GO:0021915, GO:0048856, GO:0021775, GO:0042733, GO:0060366, GO:0043586, GO:1901620, GO:0060173, GO:0061005, GO:0120223, GO:0002052, GO:0048646, GO:0021537, GO:0043010, GO:0048566, GO:0009953","Isopeptide bond,  Repressor,  Cytoplasm,  Methylation, Transcription regulation,  Repeat,  Zinc-finger, Acetylation,  Zinc,  Metal-binding,  Transcription,  Cilium,  Ubl conjugation,  Nucleus,  Cell projection, Reference proteome,  Phosphoprotein,  DNA-binding,  Activator","histone acetyltransferase binding ISO, DNA-binding transcription factor activity, RNA polymerase II-specific IBA, sequence-specific DNA binding IDA, RNA polymerase II cis-regulatory region sequence-specific DNA binding ISO, sequence-specific double-stranded DNA binding ISO, beta-catenin binding ISO, RNA polymerase II transcription regulatory region sequence-specific DNA binding ISO, chromatin binding IGI, mediator complex binding ISO, DNA-binding transcription factor activity IDA, histone deacetylase binding ISO, metal ion binding IEA","GO:0036033, GO:0008013, GO:0003700, GO:0000981, GO:0035035, GO:0003682, GO:1990837, GO:0000977, GO:0046872, GO:0043565, GO:0042826, GO:0000978","GO:0002376, GO:0009987, GO:0008152, GO:0040007, GO:0032502, GO:0040011, GO:0050896, GO:0032501, GO:0065007, GO:0007610, GO:0022414","GO:0140110, GO:0005488","GO:0005667, GO:0042995, GO:0043227, GO:0016604, GO:0043229"
222,Q61614,FT,Endothelin-1 receptor {ECO:0000305},Mus musculus (Mouse),"T-tubule ISO, nuclear membrane ISO, membrane ISO, integral component of membrane IEA","GO:0016021, GO:0030315, GO:0031965, GO:0016020","positive regulation of ERK1 and ERK2 cascade ISO, heart development IGI, fibroblast proliferation ISO, peptidyl-tyrosine phosphorylation IEA, regulation of blood pressure IEA, positive regulation of calcium ion transport ISO, negative regulation of apoptotic process ISO, sensory perception of pain ISO, neural crest cell development IMP, in utero embryonic development IMP, penile erection ISO, protein kinase C-activating G protein-coupled receptor signaling pathway ISO, Rho protein signal transduction ISO, response to morphine ISO, glomerular filtration ISO, positive regulation of kidney development ISO, positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway ISO, regulation of glucose transmembrane transport IDA, positive regulation of cell population proliferation ISO, branching involved in blood vessel morphogenesis IGI, enteric nervous system development IEA, smooth muscle cell proliferation ISO, respiratory gaseous exchange by respiratory system IMP, positive regulation of inflammatory response ISO, response to hypoxia IMP, adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway IGI, head development IMP, positive regulation of protein phosphorylation ISO, regulation of epithelial cell proliferation ISO, positive regulation of cytosolic calcium ion concentration ISO, vasoconstriction IMP, positive regulation of odontogenesis ISO, positive regulation of neutrophil chemotaxis ISO, histamine secretion ISO, G protein-coupled receptor signaling pathway TAS, positive regulation of release of sequestered calcium ion into cytosol ISO, response to lipopolysaccharide ISO, cellular response to mechanical stimulus ISO, artery smooth muscle contraction ISO","GO:0008284, GO:0042482, GO:0001934, GO:0051281, GO:0042310, GO:0007204, GO:0050678, GO:0071260, GO:0060322, GO:0090023, GO:0070374, GO:0019233, GO:0043066, GO:0043084, GO:0018108, GO:0007507, GO:0001666, GO:0048484, GO:0048659, GO:0032496, GO:0008217, GO:0007205, GO:0003094, GO:0007585, GO:0007186, GO:0043278, GO:0050729, GO:0051928, GO:0007266, GO:0007193, GO:0001569, GO:0051482, GO:0090184, GO:0001701, GO:0001821, GO:0010827, GO:0014032, GO:0014824, GO:0048144"," Reference proteome, Cell membrane,  Disulfide bond,  Transmembrane helix,  Receptor, Membrane, Transmembrane,  Glycoprotein,  Signal,  Phosphoprotein,  Transducer,  G-protein coupled receptor","G protein-coupled receptor activity TAS, endothelin receptor activity IMP","GO:0004962, GO:0004930","GO:0009987, GO:0008152, GO:0051179, GO:0032502, GO:0050896, GO:0032501, GO:0065007, GO:0022414",GO:0060089,"GO:0031090, GO:0031224"
223,Q61645,HAIR_MOUSE,Lysine-specific demethylase hairless,Mus musculus (Mouse),"nuclear body IDA, histone deacetylase complex ISO, nucleoplasm ISO, chromatin IBA","GO:0000118, GO:0000785, GO:0005654, GO:0016604","negative regulation of transcription, DNA-templated IDA, histone H3-K9 demethylation IBA, negative regulation of DNA-binding transcription factor activity ISO, regulation of transcription by RNA polymerase II IBA","GO:0045892, GO:0033169, GO:0043433, GO:0006357"," Zinc,  Oxidoreductase,  Metal-binding,  Transcription,  Iron,  Nucleus, Reference proteome,  Transcription regulation, Zinc-finger, DNA-binding","transcription corepressor activity IDA, transcription coregulator activity IBA, protein-containing complex binding ISO, thyroid hormone receptor binding ISO, vitamin D receptor binding ISO, oxidoreductase activity IEA, chromatin DNA binding IBA, histone deacetylase binding ISO, metal ion binding IEA, histone demethylase activity (H3-K9 specific) IBA","GO:0003714, GO:0031490, GO:0044877, GO:0032454, GO:0046872, GO:0046966, GO:0042809, GO:0003712, GO:0042826, GO:0016491","GO:0065007, GO:0009987, GO:0008152","GO:0098772, GO:0140110, GO:0005488, GO:0003824","GO:0140513, GO:1902494"
224,Q6PHZ3,ELAV4_MOUSE,ELAV-like protein 4,Mus musculus (Mouse),"nucleus ISO, dendrite IDA, nuclear envelope ISO, membrane ISO, neuronal cell body ISO, perikaryon IEA, polysomal ribosome ISO, cytosol ISO, cytoskeleton ISO, growth cone ISO, glutamatergic synapse ISO, cytoplasm IDA, axon IDA","GO:0005829, GO:0005737, GO:0005856, GO:0030424, GO:0098978, GO:0005634, GO:0030425, GO:0043204, GO:0016020, GO:0005635, GO:0042788, GO:0030426, GO:0043025","regulation of translation at synapse, modulating synaptic transmission ISO, response to cocaine IEA, RNA processing ISS, positive regulation of 3'-UTR-mediated mRNA stabilization ISS, neuron differentiation ISO, regeneration IEA, cellular response to nerve growth factor stimulus IEA, regulation of mRNA stability ISO, associative learning IEA, aging IEA, learning IMP, dendrite morphogenesis IMP, mRNA processing IEA, positive regulation of dendrite development ISO, response to endoplasmic reticulum stress IEA, cerebral cortex neuron differentiation IDA, 3'-UTR-mediated mRNA stabilization ISS, RNA splicing IEA, locomotory behavior IMP","GO:0034976, GO:0007626, GO:0008380, GO:0042220, GO:1900006, GO:0070935, GO:0048813, GO:0043488, GO:0006396, GO:0099547, GO:1990090, GO:0007568, GO:0008306, GO:0030182, GO:0021895, GO:0006397, GO:0007612, GO:1905870, GO:0031099","Methylation,  Alternative splicing,  Cytoplasm,  mRNA processing,  Repeat, Alternative initiation,  RNA-binding, Reference proteome,  Cell projection,  mRNA splicing,  Phosphoprotein","mRNA 3'-UTR binding ISS, mRNA 3'-UTR AU-rich region binding ISS, pre-mRNA intronic pyrimidine-rich binding ISS, poly(A) binding ISS, mRNA binding IDA, translation regulator activity ISO","GO:0003730, GO:0097158, GO:0045182, GO:0035925, GO:0008143, GO:0003729","GO:0009987, GO:0008152, GO:0032502, GO:0050896, GO:0032501, GO:0065007, GO:0007610",GO:0005488,"GO:0043228, GO:0044297, GO:0042995, GO:0043227, GO:0031975, GO:0030427, GO:0030054, GO:0043229"
225,Q61831,FT,Mitogen-activated protein kinase 10,Mus musculus (Mouse),"neuron projection ISO, plasma membrane IDA, mitochondrion IDA, postsynaptic density IDA, glutamatergic synapse ISO, perikaryon ISO, cytoplasm IDA, nucleus ISO","GO:0043005, GO:0005739, GO:0005737, GO:0098978, GO:0005886, GO:0005634, GO:0043204, GO:0014069","neurotransmitter receptor transport to postsynaptic membrane ISO, locomotor rhythm IMP, intracellular signal transduction IBA, response to light stimulus IMP, regulation of circadian rhythm IMP, regulation of gene expression IBA, protein phosphorylation IMP, vesicle-mediated transport in synapse ISO, JUN phosphorylation ISO, negative regulation of transcription by RNA polymerase II ISO, JNK cascade IDA","GO:0000122, GO:0010468, GO:0045475, GO:0099003, GO:0035556, GO:0009416, GO:0098969, GO:0007254, GO:0006468, GO:0042752, GO:0007258","Lipoprotein,  Nucleotide-binding,  Reference proteome,  Cytoplasm,  Biological rhythms, Alternative splicing,  Membrane,  Nucleus,  Kinase,  Mitochondrion, Palmitate,  Phosphoprotein,  Transferase, Serine/threonine-protein kinase,  ATP-binding","JUN kinase activity IDA, ATP binding ISO, MAP kinase activity IBA","GO:0004705, GO:0004707, GO:0005524","GO:0009987, GO:0048511, GO:0008152, GO:0051179, GO:0050896, GO:0065007, GO:0007610","GO:0005488, GO:0003824","GO:0042995, GO:0043227, GO:0099572, GO:0030054, GO:0043229"
226,Q61967,ZFP90_MOUSE,Zinc finger protein 90,Mus musculus (Mouse),"nuclear chromatin IBA, nucleus IDA","GO:0000790, GO:0005634","positive regulation of transcription, DNA-templated IMP, regulation of transcription by RNA polymerase II IBA, negative regulation of transcription, DNA-templated IDA, negative regulation of transcription by RNA polymerase II IDA, negative regulation of DNA binding IDA","GO:0000122, GO:0045892, GO:0043392, GO:0006357, GO:0045893"," Reference proteome,  Repressor,  Zinc-finger,  Zinc,  Metal-binding,  Transcription, Ubl conjugation,  Nucleus, Repeat,  Transcription regulation,  Isopeptide bond, DNA-binding","DNA-binding transcription factor activity, RNA polymerase II-specific IBA, DNA-binding transcription repressor activity, RNA polymerase II-specific IDA, RNA polymerase II transcription regulatory region sequence-specific DNA binding IBA, DNA binding IDA, metal ion binding IEA","GO:0000981, GO:0003677, GO:0001227, GO:0000977, GO:0046872",GO:0065007,"GO:0140110, GO:0005488","GO:0043229, GO:0043227"
